Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,79,53,104,171,98,97,138,211
  └─ YOY Sales Growth %,,,,,23.58%,83.40%,31.85%,23.22%
Expenses,75,48,94,154,88,86,124,189
  └─ Material Cost %,87%,79%,83%,82%,80%,78%,79%,79%
  └─ Employee Cost %,3%,4%,2%,1%,3%,3%,2%,2%
Operating Profit,4,5,10,18,10,10,14,22
OPM %,5%,9%,10%,10%,10%,11%,10%,10%
Other Income,0,0,0,1,0,0,0,1
  └─ Other income normal,0.25,0.18,0.46,1.01,0.34,0.31,0.44,1.38
Interest,1,1,3,4,4,4,5,6
Depreciation,0,0,1,2,2,3,3,3
Profit before tax,3,4,8,13,4,4,7,15
Tax %,27%,34%,25%,27%,29%,24%,26%,29%
Net Profit,2,2,6,9,3,3,5,11
  └─ Minority share,0.00,0.00,0.00,0.00,0.07,0.02,0.00,0.01
  └─ Profit excl Excep,2.33,2.49,5.71,9.44,2.62,2.66,5.08,10.62
  └─ Profit for PE,2.33,2.49,5.71,9.44,2.69,2.68,5.08,10.63
  └─ Profit for EPS,2.33,2.49,5.71,9.44,2.69,2.68,5.08,10.63
  └─ YOY Profit Growth %,,,,,15.45%,7.63%,-11.03%,12.61%
EPS in Rs,1.59,1.65,3.78,6.25,1.78,1.77,3.36,7.03
Raw PDF,,,,,,,,
