Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales,103.40,150.40,133.45,94.46,105.80,114.98,121.69,96.05,80.40,113.28,158.03,73.66,74.05
  └─ YOY Sales Growth %,67.61%,66.22%,43.54%,17.85%,2.32%,-23.55%,-8.81%,1.68%,-24.01%,-1.48%,29.86%,-23.31%,-7.90%
Expenses,96.68,142.58,124.93,94.82,99.96,108.36,114.11,90.16,74.42,109.84,149.73,74.72,76.38
  └─ Material Cost %,84%,82%,78%,87%,84%,82%,77%,82%,80%,87%,84%,88%,89%
  └─ Employee Cost %,5%,5%,5%,7%,6%,5%,5%,6%,7%,5%,4%,7%,8%
Operating Profit,6.72,7.82,8.52,-0.36,5.84,6.62,7.58,5.89,5.98,3.44,8.30,-1.06,-2.33
OPM %,6.50%,5.20%,6.38%,-0.38%,5.52%,5.76%,6.23%,6.13%,7.44%,3.04%,5.25%,-1.44%,-3.15%
Other Income,3.24,0.37,0.14,3.74,2.57,0.02,3.06,0.02,0.00,1.28,0.59,5.55,0.10
  └─ Exceptional items,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,3.24,0.37,-0.22,3.74,2.57,0.02,3.06,0.02,0.00,1.28,0.59,5.55,0.10
Interest,2.06,2.65,3.30,3.47,3.37,3.33,3.36,3.22,3.18,1.16,3.27,3.22,3.49
Depreciation,1.54,1.68,1.65,1.72,1.72,1.69,1.59,1.67,1.65,1.83,1.95,1.96,2.14
Profit before tax,6.36,3.86,3.71,-1.81,3.32,1.62,5.69,1.02,1.15,1.73,3.67,-0.69,-7.86
Tax %,22.48%,15.28%,8.63%,-23.76%,-3.92%,27.78%,31.81%,42.16%,21.74%,63.58%,34.33%,0.00%,0.00%
Net Profit,4.93,3.27,3.39,-1.38,3.45,1.17,3.88,0.59,0.90,0.63,2.41,-0.69,-7.86
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,5,3,3,-1,3,1,4,1,1,1,2,-1,-8
  └─ Profit for PE,5,3,3,-1,3,1,4,1,1,1,2,-1,-8
  └─ Profit for EPS,5,3,3,-1,3,1,4,1,1,1,2,-1,-8
  └─ YOY Profit Growth %,97%,276%,83%,25%,-30%,-64%,21%,143%,-74%,-46%,-38%,-217%,-973%
EPS in Rs,2.52,1.67,1.73,-0.70,1.76,0.57,1.88,0.24,0.37,0.26,0.99,-0.28,-3.22
Raw PDF,,,,,,,,,,,,,
