Metric,Jun 2017,Mar 2018,Jun 2018
Sales,0.53,15.64,0.59
  └─ YOY Sales Growth %,,,11.32%
Expenses,0.50,15.59,0.57
  └─ Material Cost %,58%,97%,61%
  └─ Employee Cost %,21%,1%,25%
Operating Profit,0.03,0.05,0.02
OPM %,5.66%,0.32%,3.39%
Other Income,0.07,0.63,0.24
  └─ Other income normal,0.07,0.63,0.24
Interest,0.11,0.11,0.14
Depreciation,0.03,0.03,0.03
Profit before tax,-0.04,0.54,0.09
Tax %,-25.00%,20.37%,33.33%
Net Profit,-0.04,0.44,0.07
  └─ Profit excl Excep,-0,0,0
  └─ Profit for PE,-0,0,0
  └─ Profit for EPS,-0,0,0
  └─ YOY Profit Growth %,,,275%
EPS in Rs,-0.00,0.02,0.00
Raw PDF,,,
