Metric,Mar 2024,Jun 2024,Dec 2024,Mar 2025,Jun 2025
Sales,127.28,15.85,22.16,27.72,28.67
  └─ YOY Sales Growth %,,,,-78%,81%
Expenses,118.48,12.73,15.41,22.44,23.46
  └─ Material Cost %,90%,75%,65%,75%,79%
  └─ Employee Cost %,1%,3%,3%,3%,2%
Operating Profit,8.80,3.12,6.75,5.28,5.21
OPM %,6.91%,19.68%,30.46%,19.05%,18.17%
Other Income,0.10,0.30,-0.30,0.56,0.00
  └─ Exceptional items,-0.04,0.17,-0.30,0.37,-0.02
  └─ Other income normal,0.14,0.13,0.00,0.19,0.02
Interest,3.38,1.86,1.85,2.72,2.24
Depreciation,0.08,0.00,0.05,0.11,0.05
Profit before tax,5.44,1.56,4.55,3.01,2.92
Tax %,-0.37%,25.00%,22.20%,77.74%,23.97%
Net Profit,5.45,1.17,3.54,0.68,2.22
  └─ Exceptional items AT,-0,0,-0,0,-0
  └─ Profit excl Excep,5,1,4,1,2
  └─ Profit for PE,5,1,4,1,2
  └─ Profit for EPS,5,1,4,1,2
  └─ YOY Profit Growth %,,,,-89%,115%
EPS in Rs,1.09,0.23,0.71,0.14,0.44
Raw PDF,,,,,
