Metric,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Jun 2021,Sep 2021
Sales,8.31,8.02,6.94,11.15,10.11,9.34,4.98,7.20,9.94,10.13
  └─ YOY Sales Growth %,,,,,21.66%,16.46%,-28.24%,-35.43%,99.60%,40.69%
Expenses,7.64,7.88,8.05,9.31,9.65,9.84,5.38,7.09,8.31,9.60
  └─ Material Cost %,33.81%,37.91%,39.05%,33.09%,37.09%,40.04%,40.56%,35.97%,34.61%,34.75%
  └─ Employee Cost %,39.11%,43.27%,51.59%,34.53%,34.92%,44.65%,51.00%,43.75%,33.20%,38.99%
Operating Profit,0.67,0.14,-1.11,1.84,0.46,-0.50,-0.40,0.11,1.63,0.53
OPM %,8.06%,1.75%,-15.99%,16.50%,4.55%,-5.35%,-8.03%,1.53%,16.40%,5.23%
Other Income,0.00,0.30,0.00,0.01,0.01,0.26,0.07,0.09,0.07,0.08
  └─ Other income normal,0.00,0.30,0.00,0.01,0.01,0.26,0.07,0.09,0.07,0.08
Interest,0.05,0.10,0.05,0.10,0.04,0.10,0.05,0.17,0.05,0.10
Depreciation,0.05,0.06,0.05,0.06,0.06,0.07,0.06,0.04,0.05,0.05
Profit before tax,0.57,0.28,-1.21,1.69,0.37,-0.41,-0.44,-0.01,1.60,0.46
Tax %,0.00%,-32.14%,0.00%,0.00%,0.00%,39.02%,0.00%,0.00%,0.00%,0.00%
Net Profit,0.57,0.36,-1.22,1.69,0.37,-0.57,-0.44,-0.02,1.60,0.45
  └─ Profit excl Excep,1,0,-1,2,0,-1,-0,-0,2,0
  └─ Profit for PE,1,0,-1,2,0,-1,-0,-0,2,0
  └─ Profit for EPS,1,0,-1,2,0,-1,-0,-0,2,0
  └─ YOY Profit Growth %,,,,,-35%,-258%,64%,-101%,464%,2350%
EPS in Rs,0.77,0.49,-1.64,2.28,0.50,-0.77,-0.59,-0.03,2.16,0.61
Raw PDF,,,,,,,,,,
