Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.03,0.02,0.03,0.04,0.05,0.02,0.04,0.04,0.04,0.02,0.03,0.79,0.07
  └─ YOY Sales Growth %,-40%,-33%,0%,0%,67%,0%,33%,0%,-20%,0%,-25%,1875%,75%
Expenses,1.15,0.83,1.14,0.71,0.48,0.42,0.28,0.26,0.38,0.57,0.36,0.20,0.53
  └─ Material Cost %,133%,0%,33%,25%,20%,0%,25%,25%,25%,0%,0%,1%,14%
  └─ Employee Cost %,433%,600%,433%,325%,240%,650%,325%,350%,300%,600%,367%,15%,400%
Operating Profit,-1.12,-0.81,-1.11,-0.67,-0.43,-0.40,-0.24,-0.22,-0.34,-0.55,-0.33,0.59,-0.46
OPM %,-3733.33%,-4050.00%,-3700.00%,-1675.00%,-860.00%,-2000.00%,-600.00%,-550.00%,-850.00%,-2750.00%,-1100.00%,74.68%,-657.14%
Other Income,16.57,2.06,0.73,-0.14,18.12,0.31,4.71,0.91,0.08,1.09,0.03,0.11,0.02
  └─ Other income normal,16.57,2.06,0.73,-0.14,18.12,0.31,4.71,0.91,0.08,1.09,0.03,0.11,0.02
Interest,0.00,0.00,0.00,-0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,15.42,1.22,-0.40,-0.68,17.67,-0.11,4.45,0.68,-0.27,0.53,-0.31,0.69,-0.45
Tax %,1.56%,9.84%,-280.00%,-11.76%,21.51%,100.00%,3.15%,20.59%,-355.56%,22.64%,-16.13%,23.19%,-17.78%
Net Profit,15.17,1.09,0.72,-0.60,13.88,-0.22,4.31,0.55,0.70,0.41,-0.25,0.53,-0.37
  └─ Minority share,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,15,1,1,-1,14,-0,4,1,1,0,-0,1,-0
  └─ Profit for PE,15,1,1,-1,14,-0,4,1,1,0,-0,1,-0
  └─ Profit for EPS,15,1,1,-1,14,-0,4,1,1,0,-0,1,-0
  └─ YOY Profit Growth %,4126%,689%,79%,,-8%,-121%,534%,186%,-95%,286%,-106%,-4%,-153%
EPS in Rs,504.67,35.33,22.67,-21.33,400.81,-6.35,124.46,15.88,20.21,11.84,-7.22,15.30,-10.68
Raw PDF,,,,,,,,,,,,,
