Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales,149,152,134,150,100,138,129,161,146,124,136,140,115
  └─ YOY Sales Growth %,-15.37%,-23.70%,-24.09%,-20.45%,-32.60%,-8.74%,-3.67%,6.85%,45.45%,-10.59%,5.49%,-12.61%,-20.98%
Expenses,149,170,138,147,96,136,124,162,140,122,140,167,115
  └─ Material Cost %,62%,78%,64%,66%,51%,65%,59%,68%,64%,58%,64%,64%,57%
  └─ Employee Cost %,6%,5%,6%,6%,8%,7%,7%,7%,7%,8%,8%,7%,8%
Operating Profit,0,-19,-4,3,4,3,4,-1,6,1,-4,-27,1
OPM %,0%,-12%,-3%,2%,4%,2%,3%,-1%,4%,1%,-3%,-19%,1%
Other Income,2,-1,4,3,1,1,2,2,1,38,1,-11,0
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.49,0.00,-11.49,0.00
  └─ Other income normal,1.56,-0.70,3.56,3.21,0.65,1.35,1.66,1.82,0.72,0.40,0.52,0.77,0.39
Interest,9,10,11,10,10,10,10,11,11,9,9,9,9
Depreciation,7,7,7,7,7,7,7,7,7,7,7,6,6
Profit before tax,-15,-36,-19,-11,-13,-13,-11,-18,-11,23,-19,-53,-14
Tax %,-38%,-24%,-28%,-23%,-29%,-32%,-22%,-50%,-27%,20%,-29%,-48%,66%
Net Profit,-9,-27,-13,-8,-9,-9,-9,-9,-8,19,-14,-27,-23
  └─ Minority share,3,10,5,2,3,4,3,4,3,3,6,-1,10
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,33,0,-11,0
  └─ Profit excl Excep,-9,-27,-13,-8,-9,-9,-9,-9,-8,-14,-14,-16,-23
  └─ Profit for PE,-6,-17,-9,-6,-6,-5,-6,-5,-5,-11,-7,-17,-14
  └─ Profit for EPS,-6,-17,-9,-6,-6,-5,-6,-5,-5,22,-7,-28,-14
  └─ YOY Profit Growth %,-342%,-955%,-440%,10%,10%,68%,37%,13%,9%,-98%,-33%,-206%,-160%
EPS in Rs,-8.96,-23.60,-12.08,-8.64,-8.10,-7.50,-7.65,-7.53,-7.35,30.88,-10.17,-38.96,-19.08
Raw PDF,,,,,,,,,,,,,
