Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales,10,9,9,9,8,7,8,8,8,9,9,10,8
  └─ YOY Sales Growth %,-8.75%,-8.00%,-22.79%,-11.35%,-19.71%,-19.93%,-9.99%,-12.49%,5.58%,22.15%,16.89%,18.57%,-0.12%
Expenses,6,5,6,6,6,5,6,6,5,6,6,6,7
  └─ Employee Cost %,26.59%,27.20%,30.52%,26.48%,32.21%,38.24%,30.95%,29.64%,26.69%,27.36%,24.89%,26.35%,30.17%
Operating Profit,4,4,3,4,2,2,2,2,3,3,3,3,1
OPM %,39%,48%,39%,39%,27%,30%,28%,25%,42%,32%,36%,34%,11%
Other Income,0,0,0,2,0,0,0,0,1,0,37,0,-8
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.18,0.00,-7.62
  └─ Other income normal,0.06,0.05,0.06,2.46,0.12,0.02,0.47,0.12,0.51,0.12,0.02,0.16,0.04
Interest,8,3,4,4,4,27,9,9,9,10,4,8,8
Depreciation,3,3,3,3,3,3,3,3,3,3,3,3,3
Profit before tax,-7,-1,-3,-1,-4,-28,-9,-10,-8,-9,34,-7,-18
Tax %,5%,43%,9%,62%,0%,1%,3%,2%,6%,2%,2%,-1%,-1%
Net Profit,-7,-2,-3,-1,-4,-28,-9,-10,-9,-9,33,-7,-17
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.65,0.00,-7.62
  └─ Profit excl Excep,-7.34,-1.71,-3.36,-1.44,-4.43,-28.14,-9.31,-9.81,-8.58,-9.38,-3.63,-7.06,-9.75
  └─ Profit for PE,-7.34,-1.71,-3.36,-1.44,-4.43,-28.14,-9.31,-9.81,-8.58,-9.38,-3.63,-7.06,-9.75
  └─ Profit for EPS,-7.34,-1.71,-3.36,-1.44,-4.43,-28.14,-9.31,-9.81,-8.58,-9.38,33.02,-7.06,-17.37
  └─ YOY Profit Growth %,-15.23%,78.91%,57.74%,79.52%,39.65%,-1545.61%,-177.08%,-581.25%,-93.68%,66.67%,61.01%,28.03%,-13.64%
EPS in Rs,-6.72,-1.57,-3.08,-1.32,-4.05,-25.75,-8.52,-8.98,-7.85,-8.58,30.22,-6.46,-15.90
Raw PDF,,,,,,,,,,,,,
