Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,103,40,108,87,108,55,95,150,228,142,206,231,446
  └─ YOY Sales Growth %,,,,,5%,37%,-12%,74%,111%,160%,116%,54%,96%
Expenses,89,33,93,80,95,45,80,128,194,122,177,187,371
  └─ Material Cost %,72%,50%,83%,77%,76%,61%,68%,73%,76%,67%,46%,42%,79%
  └─ Employee Cost %,4%,9%,4%,4%,3%,8%,5%,4%,2%,6%,5%,6%,2%
Operating Profit,14,7,14,7,13,10,15,22,34,20,29,44,74
OPM %,13%,17%,13%,8%,12%,18%,16%,15%,15%,14%,14%,19%,17%
Other Income,0,-0,6,2,-0,1,3,3,7,2,1,0,5
  └─ Other income normal,0.17,-0.13,6.27,1.59,-0.13,1.03,2.82,3.38,6.70,1.59,1.31,0.48,5.36
Interest,2,0,2,1,3,2,2,2,2,1,2,2,4
Depreciation,2,2,2,2,3,2,3,3,6,2,3,5,6
Profit before tax,10,4,17,5,7,6,14,21,33,18,26,37,70
Tax %,27%,24%,24%,25%,13%,24%,25%,25%,27%,30%,22%,35%,22%
Net Profit,7,3,13,4,6,5,10,16,24,13,20,24,54
  └─ Profit excl Excep,7,3,13,4,6,5,10,16,24,13,20,24,54
  └─ Profit for PE,7,3,13,4,6,5,10,16,24,13,20,24,54
  └─ Profit for EPS,7,3,13,4,6,5,10,16,24,13,20,24,54
  └─ YOY Profit Growth %,,,,,-12%,43%,-20%,310%,290%,167%,94%,51%,125%
EPS in Rs,4.17,1.99,7.69,2.33,3.68,2.08,4.51,6.97,10.50,5.56,8.75,10.50,23.58
Raw PDF,,,,,,,,,,,,,
