Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales,5.94,9.30,14.02,18.38,2.60,0.11,0.00,0.00,0.00,0.00,0.81,1.07,1.07
  └─ YOY Sales Growth %,-73.16%,-45.80%,19.12%,231.77%,-56.23%,-98.82%,-100.00%,-100.00%,-100.00%,-100.00%,,,
Expenses,4.41,4.23,5.22,6.70,0.18,1.18,1.22,0.70,0.74,0.64,0.54,1.02,0.88
  └─ Employee Cost %,4.88%,2.15%,1.57%,0.87%,9.62%,136.36%,,,,,19.75%,14.02%,19.63%
Operating Profit,1.53,5.07,8.80,11.68,2.42,-1.07,-1.22,-0.70,-0.74,-0.64,0.27,0.05,0.19
OPM %,25.76%,54.52%,62.77%,63.55%,93.08%,-972.73%,,,,,33.33%,4.67%,17.76%
Other Income,0.83,11.25,0.83,0.65,32.14,0.95,1.07,1.14,1.39,-0.63,4.80,0.81,1.10
  └─ Exceptional items,0.00,11.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00
  └─ Other income normal,0.83,0.23,0.83,0.65,32.14,0.95,1.07,1.14,1.39,-0.63,0.80,0.81,1.10
Interest,2.04,-0.97,1.26,1.27,0.72,1.70,0.28,0.28,0.29,0.28,0.27,0.26,0.26
Depreciation,2.36,2.31,2.35,2.33,0.16,0.15,0.12,0.13,0.13,0.13,0.11,0.11,0.11
Profit before tax,-2.04,14.98,6.02,8.73,33.68,-1.97,-0.55,0.03,0.23,-1.68,4.69,0.49,0.92
Tax %,5.88%,24.43%,3.32%,1.49%,-3.62%,1.02%,1.82%,-33.33%,-347.83%,0.00%,0.00%,12.24%,1.09%
Net Profit,-2.16,11.33,5.83,8.60,34.90,-1.99,-0.56,0.04,1.04,-1.67,4.68,0.43,0.91
  └─ Exceptional items AT,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00
  └─ Profit excl Excep,-2.16,3.00,5.83,8.60,34.90,-1.99,-0.56,0.04,1.04,-1.67,0.68,0.43,0.91
  └─ Profit for PE,-2.16,3.00,5.83,8.60,34.90,-1.99,-0.56,0.04,1.04,-1.67,0.68,0.43,0.91
  └─ Profit for EPS,-2.16,11.33,5.83,8.60,34.90,-1.99,-0.56,0.04,1.04,-1.67,4.68,0.43,0.91
  └─ YOY Profit Growth %,91.03%,121.49%,301.03%,410.47%,1715.74%,-166.33%,-109.61%,-99.53%,-97.02%,16.08%,221.43%,975.00%,-12.50%
EPS in Rs,-0.59,3.12,1.61,2.37,9.61,-0.55,-0.15,0.01,0.29,-0.46,1.29,0.12,0.25
Raw PDF,,,,,,,,,,,,,
