Metric,Mar 2015,Jun 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016
Sales,5.66,1.05,5.85,3.31,2.32,4.31
  └─ YOY Sales Growth %,,,3.36%,215.24%,,
Expenses,4.86,0.73,5.28,2.96,2.07,4.33
  └─ Employee Cost %,2.30%,20.00%,6.67%,22.36%,47.41%,26.91%
Operating Profit,0.80,0.32,0.57,0.35,0.25,-0.02
OPM %,14.13%,30.48%,9.74%,10.57%,10.78%,-0.46%
Other Income,0.00,0.00,0.00,0.00,-0.14,0.00
  └─ Exceptional items,0.00,0.00,0.00,0.00,-0.14,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.02
Depreciation,0.60,0.18,0.13,0.20,0.26,0.23
Profit before tax,0.20,0.14,0.44,0.15,-0.15,-0.27
Tax %,-150.00%,50.00%,-2.27%,33.33%,-86.67%,-14.81%
Net Profit,0.50,0.06,0.46,0.10,-0.01,-0.22
  └─ Minority share,0.12,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,-0.14,0.00
  └─ Profit excl Excep,0.50,0.06,0.46,0.10,0.13,-0.22
  └─ Profit for PE,0.62,0.06,0.46,0.10,0.13,-0.22
  └─ Profit for EPS,0.62,0.06,0.46,0.10,-0.01,-0.22
  └─ YOY Profit Growth %,,,-25.81%,66.67%,,
EPS in Rs,0.26,0.03,0.19,0.04,-0.00,-0.09
Raw PDF,,,,,,
