Metric,Mar 2016,Sep 2016,Mar 2017
  └─ Material Cost %,85%,90%,98%
  └─ Employee Cost %,6%,6%,1%
  └─ Profit excl Excep,0.04,0.03,0.01
  └─ Profit for PE,0.04,0.03,0.01
  └─ Profit for EPS,0.04,0.03,0.01
