Metric,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018
Sales,0.00,2.73,7.58,7.21,12.54,17.71,19.39,23.54,14.77,14.20,18.16,29.19,35.71
  └─ YOY Sales Growth %,,,,,,549%,156%,226%,18%,-20%,-6%,24%,142%
Expenses,0.25,2.70,7.48,11.88,10.36,13.60,26.30,15.26,15.48,11.77,23.58,24.17,32.20
  └─ Material Cost %,,88%,89%,151%,74%,72%,126%,58%,99%,89%,124%,80%,87%
  └─ Employee Cost %,,3%,3%,3%,2%,1%,2%,2%,2%,2%,2%,1%,1%
Operating Profit,-0.25,0.03,0.10,-4.67,2.18,4.11,-6.91,8.28,-0.71,2.43,-5.42,5.02,3.51
OPM %,,1.10%,1.32%,-64.77%,17.38%,23.21%,-35.64%,35.17%,-4.81%,17.11%,-29.85%,17.20%,9.83%
Other Income,0.46,0.48,0.48,0.78,0.50,0.49,0.49,0.72,0.48,0.59,0.42,-0.32,0.01
  └─ Other income normal,0.46,0.48,0.48,0.78,0.50,0.49,0.49,0.72,0.48,0.59,0.42,-0.32,0.01
Interest,0.00,0.05,0.07,0.16,0.20,0.12,0.32,0.28,0.10,0.06,0.26,0.26,0.24
Depreciation,0.00,0.01,0.04,0.00,0.02,0.07,0.07,0.07,0.07,0.07,0.05,0.07,0.09
Profit before tax,0.21,0.45,0.47,-4.05,2.46,4.41,-6.81,8.65,-0.40,2.89,-5.31,4.37,3.19
Tax %,19.05%,-2.22%,19.15%,1.98%,3.25%,-5.22%,0.00%,0.00%,0.00%,5.19%,0.00%,0.00%,19.12%
Net Profit,0.17,0.47,0.38,-4.13,2.38,4.64,-6.81,8.66,-0.40,2.73,-5.31,4.36,2.58
  └─ Minority share,0,0,0,0,0,0,4,0,0,-0,0,0,0
  └─ Profit excl Excep,0,0,0,-4,2,5,-7,9,-0,3,-5,4,3
  └─ Profit for PE,0,0,0,-4,2,5,-3,9,-0,2,-5,4,3
  └─ Profit for EPS,0,0,0,-4,2,5,-3,9,-0,2,-5,4,3
  └─ YOY Profit Growth %,,571%,124%,-2529%,1300%,887%,-958%,310%,-117%,-52%,-63%,-50%,745%
EPS in Rs,0.05,0.13,0.11,-1.18,0.68,1.33,-0.93,2.48,-0.11,0.64,-1.52,1.25,0.74
Raw PDF,,,,,,,,,,,,,
