Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3255,1617,1750,2931,4018,2846,2626,4083,4224,3492,3798,4672,4714
  └─ YOY Sales Growth %,-5.49%,-39.55%,-0.89%,65.22%,23.44%,75.99%,50.07%,39.32%,5.12%,22.67%,44.67%,14.44%,11.58%
Expenses,2487,1289,1338,2055,2972,2090,1922,2777,3004,2508,2690,3257,3301
  └─ Material Cost %,64%,62%,57%,57%,63%,60%,60%,59%,61%,60%,58%,59%,59%
  └─ Employee Cost %,3%,7%,7%,4%,3%,5%,5%,3%,3%,4%,4%,4%,3%
Operating Profit,769,328,412,876,1046,756,704,1306,1220,984,1108,1415,1413
OPM %,24%,20%,24%,30%,26%,27%,27%,32%,29%,28%,29%,30%,30%
Other Income,16,54,6,-77,65,72,59,64,196,133,80,110,129
  └─ Exceptional items,0,0,0,-105,0,0,0,0,0,0,0,0,0
  └─ Other income normal,16,54,6,28,65,72,59,64,196,133,80,110,129
Interest,117,124,123,117,116,117,136,144,152,148,156,185,167
Depreciation,30,24,29,33,117,60,66,67,78,66,71,98,111
Profit before tax,638,235,265,649,878,651,560,1158,1186,904,961,1243,1264
Tax %,-17%,24%,24%,22%,24%,27%,24%,18%,22%,25%,18%,23%,20%
Net Profit,746,179,203,505,667,476,423,945,923,675,790,958,1008
  └─ Minority share,-2,-1,-1,-2,-2,-1,-0,-0,-1,-0,-1,-1,-0
  └─ Exceptional items AT,0,0,0,-82,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,746,179,203,587,667,476,423,945,923,675,790,958,1008
  └─ Profit for PE,744,178,202,585,666,475,423,944,922,675,789,957,1008
  └─ Profit for EPS,744,178,202,503,666,475,423,944,922,675,789,957,1008
  └─ YOY Profit Growth %,39%,-34%,5%,44%,-11%,166%,109%,62%,38%,42%,86%,1%,9%
EPS in Rs,7.73,1.85,2.09,5.22,6.69,4.78,4.25,9.47,9.24,6.76,7.90,9.58,10.09
Raw PDF,,,,,,,,,,,,,
