Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,91,85,89,90,98,94,106,105,114,116,112,107,115
  └─ YOY Sales Growth %,-79.73%,-67.60%,-14.87%,-10.65%,6.85%,10.11%,19.85%,16.93%,16.66%,23.35%,5.50%,2.38%,1.20%
Expenses,110,93,97,92,102,103,107,106,114,123,118,114,117
  └─ Material Cost %,87%,83%,84%,83%,85%,85%,85%,84%,85%,86%,85%,84%,84%
  └─ Employee Cost %,9%,8%,8%,6%,6%,6%,5%,6%,5%,6%,6%,7%,7%
Operating Profit,-19,-8,-8,-3,-4,-9,-1,-1,0,-7,-6,-6,-1
OPM %,-20%,-9%,-9%,-3%,-4%,-10%,-1%,-1%,0%,-6%,-5%,-6%,-1%
Other Income,-2,-17,1,-51,4,13,3,23,5,9,26,60,3
  └─ Exceptional items,-8.03,-23.89,-3.47,-59.08,0.42,5.35,-0.27,6.85,-3.10,-2.83,5.38,50.30,-0.35
  └─ Other income normal,5.94,6.56,4.10,8.07,3.87,7.48,3.65,15.76,7.61,12.01,20.47,9.40,3.75
Interest,13,14,14,14,14,20,15,15,15,16,34,15,25
Depreciation,7,6,5,5,4,4,4,4,4,4,5,5,5
Profit before tax,-40,-45,-26,-72,-17,-21,-16,2,-14,-18,-19,33,-28
Tax %,3%,4%,-6%,0%,-1%,-1%,-2%,20%,-3%,-1%,-1%,56%,-1%
Net Profit,-41,-46,-24,-73,-17,-21,-16,2,-14,-18,-18,15,-28
  └─ Minority share,0,0,0,0,0,-4,0,0,0,0,-0,-0,0
  └─ Exceptional items AT,-8,-23,-3,-59,0,5,-0,6,-3,-3,5,31,-0
  └─ Profit excl Excep,-33,-23,-21,-14,-18,-26,-16,-4,-11,-15,-24,-16,-27
  └─ Profit for PE,-33,-23,-21,-14,-18,-30,-16,-4,-11,-15,-24,-16,-27
  └─ Profit for EPS,-41,-46,-24,-73,-17,-24,-16,2,-14,-18,-19,15,-28
  └─ YOY Profit Growth %,28%,91%,69%,49%,48%,-27%,26%,70%,36%,50%,-54%,-278%,-146%
EPS in Rs,-0.21,-0.23,-0.12,-0.36,-0.09,-0.12,-0.08,0.01,-0.07,-0.09,-0.09,0.07,-0.14
Raw PDF,,,,,,,,,,,,,
