Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,196,217,250,261,228,329,226,273
  └─ YOY Sales Growth %,,,,,16.36%,52.07%,-9.59%,4.60%
Expenses,181,190,223,215,218,288,197,218
  └─ Material Cost %,81%,70%,79%,67%,82%,78%,74%,66%
  └─ Employee Cost %,6%,10%,7%,7%,8%,5%,8%,7%
Operating Profit,15,27,27,46,10,41,29,54
OPM %,7%,12%,11%,18%,4%,12%,13%,20%
Other Income,2,4,3,11,7,4,-4,7
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-5.69,0.50
  └─ Other income normal,1.57,4.19,3.35,10.56,7.17,4.19,2.01,6.05
Interest,2,3,4,4,2,4,2,3
Depreciation,2,2,2,2,2,2,2,2
Profit before tax,13,26,24,50,14,39,21,56
Tax %,27%,29%,19%,25%,25%,25%,25%,24%
Net Profit,9,19,19,38,10,30,16,43
  └─ Minority share,0.11,0.31,-0.35,0.21,0.03,-0.08,0.03,-0.13
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,-3.96,0.38
  └─ Profit excl Excep,9.16,18.88,19.28,37.97,10.36,29.71,19.62,42.27
  └─ Profit for PE,9.27,19.19,18.93,38.18,10.39,29.63,19.65,42.14
  └─ Profit for EPS,9.27,19.19,18.93,38.18,10.39,29.63,15.69,42.52
  └─ YOY Profit Growth %,,,,,12.08%,54.40%,3.80%,10.37%
EPS in Rs,4.40,4.56,4.50,9.07,2.47,5.53,2.87,7.78
Raw PDF,,,,,,,,
