Metric,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025
Sales,1.43,2.73,1.53,3.84,2.42,3.60,0.86,8.07
Expenses,1.72,1.94,1.29,3.14,2.51,3.96,1.27,6.51
  └─ Material Cost %,-2.10%,-2.56%,-52.94%,43.49%,-39.26%,39.44%,-133.72%,27.51%
  └─ Employee Cost %,41.96%,26.01%,49.67%,18.49%,34.71%,23.61%,65.12%,7.68%
Operating Profit,-0.29,0.79,0.24,0.70,-0.09,-0.36,-0.41,1.56
OPM %,-20.28%,28.94%,15.69%,18.23%,-3.72%,-10.00%,-47.67%,19.33%
Other Income,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.03
  └─ Other income normal,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.03
Interest,0.01,0.02,0.02,0.06,0.11,0.12,0.18,0.06
Depreciation,0.03,0.03,0.04,0.04,0.12,0.06,0.09,0.08
Profit before tax,-0.32,0.75,0.19,0.61,-0.30,-0.53,-0.66,1.45
Tax %,0.00%,14.67%,10.53%,26.23%,-3.33%,28.30%,0.00%,13.10%
Net Profit,-0.33,0.65,0.18,0.45,-0.29,-0.68,-0.66,1.26
  └─ Profit excl Excep,-0.33,0.65,0.18,0.45,-0.29,-0.68,-0.66,1.26
  └─ Profit for PE,-0.33,0.65,0.18,0.45,-0.29,-0.68,-0.66,1.26
  └─ Profit for EPS,-0.33,0.65,0.18,0.45,-0.29,-0.68,-0.66,1.26
EPS in Rs,-0.92,1.81,0.50,1.25,-0.81,-1.89,-1.83,3.50
Raw PDF,,,,,,,,
