Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1125,975,801,904,1019,1216,1505
  └─ YOY Sales Growth %,,,,,-9%,25%,88%
Expenses,575,-40,413,422,415,496,567
  └─ Employee Cost %,23.48%,-32.59%,14.99%,15.11%,12.15%,12.91%,11.52%
Operating Profit,550,1014,388,483,603,720,938
OPM %,49%,104%,48%,53%,59%,59%,62%
Other Income,35,30,49,44,52,45,30
  └─ Other income normal,34.66,29.91,48.57,44.07,52.06,45.00,30.17
Interest,9,16,16,16,11,10,8
Depreciation,6,7,7,7,7,9,24
Profit before tax,570,1022,414,503,638,745,936
Tax %,26%,26%,25%,25%,26%,27%,27%
Net Profit,420,757,309,378,471,547,686
  └─ Profit excl Excep,420,757,309,378,471,547,686
  └─ Profit for PE,420,757,309,378,471,547,686
  └─ Profit for EPS,420,757,309,378,471,547,686
  └─ YOY Profit Growth %,,,,,12%,-28%,122%
EPS in Rs,13.51,20.71,1.69,1.81,0.79,0.89,1.09
Raw PDF,,,,,,,
