Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,12.46,13.82,14.15,14.61,16.64,23.15,25.30,37.27
  └─ YOY Sales Growth %,,,,,34%,68%,79%,155%
Expenses,9.84,10.85,11.96,10.71,11.90,20.14,21.19,32.00
  └─ Employee Cost %,40.77%,43.70%,43.75%,39.08%,41.17%,38.01%,34.19%,40.46%
Operating Profit,2.62,2.97,2.19,3.90,4.74,3.01,4.11,5.27
OPM %,21.03%,21.49%,15.48%,26.69%,28.49%,13.00%,16.25%,14.14%
Other Income,0.21,0.26,0.23,0.28,0.21,0.73,0.64,0.59
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00
  └─ Other income normal,0.21,0.26,0.23,0.28,0.21,0.73,1.03,0.59
Interest,0.00,0.00,0.00,0.00,0.05,0.08,0.16,0.33
Depreciation,0.02,0.04,0.05,0.05,0.06,0.06,0.09,0.15
Profit before tax,2.81,3.19,2.37,4.13,4.84,3.60,4.50,5.38
Tax %,24.91%,25.71%,24.89%,25.91%,25.00%,22.78%,26.89%,19.33%
Net Profit,2.11,2.37,1.79,3.06,3.63,2.78,3.30,4.35
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,-0.28,0.00
  └─ Profit excl Excep,2.11,2.37,1.79,3.06,3.63,2.78,3.58,4.35
  └─ Profit for PE,2.11,2.37,1.79,3.06,3.63,2.78,3.58,4.35
  └─ Profit for EPS,2.11,2.37,1.79,3.06,3.63,2.78,3.30,4.35
  └─ YOY Profit Growth %,,,,,72.04%,17.30%,100.00%,42.16%
EPS in Rs,1.53,1.72,1.30,2.23,2.64,2.02,2.40,3.16
Raw PDF,,,,,,,,
