Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,18,12,19,16,51,73,101,108,107,60,41,69,47
Expenses,20,15,20,18,53,79,84,94,96,67,64,87,44
  └─ Employee Cost %,73.46%,83.95%,51.64%,75.16%,55.94%,61.19%,44.02%,45.46%,38.59%,56.66%,58.97%,63.11%,49.06%
Operating Profit,-2,-2,-1,-2,-2,-5,17,14,12,-7,-24,-18,4
OPM %,-10%,-19%,-4%,-12%,-3%,-7%,16%,13%,11%,-11%,-58%,-26%,8%
Other Income,2,0,3,0,4,2,3,1,2,0,-27,1,-11
  └─ Exceptional items,1.18,0.00,2.55,0.00,2.94,0.00,0.00,0.00,0.29,0.00,-28.51,0.00,-11.21
  └─ Other income normal,0.81,0.12,0.22,0.23,0.78,1.75,3.03,0.58,1.73,0.39,1.23,0.78,0.29
Interest,1,0,1,0,1,1,2,4,4,4,3,2,0
Depreciation,2,2,2,1,2,2,3,3,3,2,2,2,1
Profit before tax,-2,-4,-0,-4,-1,-7,15,8,7,-12,-56,-22,-9
Tax %,0%,11%,24%,7%,46%,7%,-1%,4%,3%,1%,1%,2%,-1%
Net Profit,-2,-5,-1,-4,-1,-8,15,7,7,-12,-56,-22,-9
  └─ Minority share,0.01,0.00,0.01,0.00,0.45,3.23,-6.01,-2.50,-3.32,5.28,26.36,9.08,3.22
  └─ Exceptional items AT,1.12,0.00,1.93,0.00,2.44,0.00,0.00,0.00,0.27,0.00,-28.36,0.00,-11.12
  └─ Profit excl Excep,-3.26,-4.81,-2.50,-3.76,-3.68,-7.50,14.97,7.27,6.34,-12.45,-27.89,-22.19,2.52
  └─ Profit for PE,-3.24,-4.81,-2.46,-3.76,-2.34,-4.27,8.96,4.77,3.16,-7.17,-14.82,-13.11,1.58
  └─ Profit for EPS,-2.13,-4.81,-0.56,-3.76,-0.79,-4.27,8.96,4.77,3.29,-7.17,-29.89,-13.11,-5.38
EPS in Rs,-2.84,-6.41,-0.75,-5.01,-1.05,-5.69,11.94,6.36,4.39,-7.17,-29.88,-13.11,-5.38
Raw PDF,,,,,,,,,,,,,
