Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,231.36,129.58,221.53,312.03,154.74,95.23,152.56,252.22
  └─ YOY Sales Growth %,,,,,-33.12%,-26.51%,-31.13%,-19.17%
Expenses,225.18,126.07,209.94,294.54,149.64,90.92,147.53,238.26
  └─ Material Cost %,89%,86%,86%,87%,86%,82%,86%,86%
  └─ Employee Cost %,5%,7%,5%,4%,7%,9%,6%,5%
Operating Profit,6.18,3.51,11.59,17.49,5.10,4.31,5.03,13.96
OPM %,2.67%,2.71%,5.23%,5.61%,3.30%,4.53%,3.30%,5.53%
Other Income,0.00,0.01,0.38,0.04,0.01,0.00,0.00,0.04
  └─ Other income normal,0.00,0.01,0.38,0.04,0.01,0.00,0.00,0.04
Interest,1.69,1.32,2.28,1.49,1.91,2.20,2.30,2.23
Depreciation,1.54,1.63,1.76,2.18,1.72,1.96,1.95,2.15
Profit before tax,2.95,0.57,7.93,13.86,1.48,0.15,0.78,9.62
Tax %,39.66%,10.53%,35.69%,16.09%,25.68%,-66.67%,28.21%,25.36%
Net Profit,1.78,0.51,5.09,11.63,1.11,0.26,0.57,7.18
  └─ Profit excl Excep,1.78,0.51,5.09,11.63,1.11,0.26,0.57,7.18
  └─ Profit for PE,1.78,0.51,5.09,11.63,1.11,0.26,0.57,7.18
  └─ Profit for EPS,1.78,0.51,5.09,11.63,1.11,0.26,0.57,7.18
  └─ YOY Profit Growth %,,,,,-37.64%,-49.02%,-88.80%,-38.26%
EPS in Rs,0.13,0.04,0.38,0.87,0.08,0.02,0.04,0.54
Raw PDF,,,,,,,,
