Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Revenue,5.47,5.82,5.97,6.37,9.57,9.80,7.21,6.71,4.41,7.98,8.83,8.57,9.87
  └─ YOY Sales Growth %,156%,115%,64%,29%,75%,68%,21%,5%,-54%,-19%,22%,28%,124%
Interest,3.53,4.06,3.54,4.39,6.08,6.96,4.02,4.07,4.20,4.56,4.82,6.17,7.29
Expenses,0.42,0.35,0.27,0.42,0.44,1.17,0.27,0.33,0.36,2.79,0.52,0.80,1.45
  └─ Employee Cost %,2.56%,2.75%,2.01%,2.67%,1.88%,2.14%,2.91%,2.53%,4.31%,2.26%,1.93%,2.22%,0.30%
Financing Profit,1.52,1.41,2.16,1.56,3.05,1.67,2.92,2.31,-0.15,0.63,3.49,1.60,1.13
Financing Margin %,27.79%,24.23%,36.18%,24.49%,31.87%,17.04%,40.50%,34.43%,-3.40%,7.89%,39.52%,18.67%,11.45%
Other Income,0.00,0.10,0.08,0.88,0.25,0.39,0.02,0.00,0.05,-0.02,0.00,0.00,0.06
  └─ Other income normal,0.00,0.10,0.08,0.88,0.25,0.39,0.02,0.00,0.05,-0.02,0.00,0.00,0.06
Depreciation,0.08,0.11,0.06,0.18,0.32,0.07,0.15,0.15,0.15,0.15,0.10,0.11,0.11
Profit before tax,1.44,1.40,2.18,2.26,2.98,1.99,2.79,2.16,-0.25,0.46,3.39,1.49,1.08
Tax %,22.22%,20.71%,19.27%,24.78%,25.84%,13.57%,57.35%,27.78%,-208.00%,82.61%,28.61%,8.72%,25.00%
Net Profit,1.12,1.11,1.75,1.70,2.21,1.72,1.18,1.55,0.26,0.07,2.42,1.37,0.82
  └─ Minority share,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
  └─ Profit excl Excep,1,1,2,2,2,2,1,2,0,0,2,1,1
  └─ Profit for PE,1,1,2,1,2,1,1,1,0,0,2,1,1
  └─ Profit for EPS,1,1,2,1,2,1,1,1,0,0,2,1,1
  └─ YOY Profit Growth %,-9%,332%,111%,62%,73%,47%,-37%,-9%,-88%,-96%,115%,-10%,181%
EPS in Rs,0.20,0.18,0.29,0.26,0.34,0.27,0.18,0.24,0.04,0.01,0.39,0.22,0.11
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
