Metric,Sep 2023,Sep 2024
  └─ Material Cost %,60%,77%
  └─ Employee Cost %,7%,0%
  └─ Other income normal,0.00,0.04
  └─ Profit excl Excep,0.73,0.48
  └─ Profit for PE,0.73,0.48
  └─ Profit for EPS,0.73,0.48
