Metric,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4600,4814,5104,4780,5504,5096,5644,5667,6748
  └─ YOY Sales Growth %,,,,3.90%,,5.86%,10.57%,18.56%,22.60%
Expenses,3505,3700,3940,3685,4128,4009,4417,4486,4979
  └─ Material Cost %,41.40%,42.35%,43.38%,43.61%,43.83%,44.85%,45.66%,44.17%,44.31%
  └─ Employee Cost %,9.13%,10.50%,9.83%,10.35%,9.52%,10.12%,9.51%,10.45%,7.70%
Operating Profit,1095,1114,1164,1095,1376,1088,1227,1181,1768
OPM %,24%,23%,23%,23%,25%,21%,22%,21%,26%
Other Income,-77,39,190,4,9,4,2,170,-18
  └─ Exceptional items,-107.30,0.00,183.39,0.00,0.00,0.00,0.00,156.95,-36.17
  └─ Other income normal,30.30,39.12,6.86,4.44,9.10,4.04,1.64,12.83,18.45
Interest,23,32,32,35,38,47,46,28,37
Depreciation,109,113,122,150,155,157,163,174,205
Profit before tax,886,1009,1200,914,1192,888,1018,1148,1509
Tax %,26%,26%,25%,25%,27%,27%,27%,13%,26%
Net Profit,656,747,899,688,873,647,743,998,1111
  └─ Exceptional items AT,-79,0,135,0,0,0,0,136,-27
  └─ Profit excl Excep,735,747,764,688,873,647,743,862,1138
  └─ Profit for PE,735,747,764,688,873,647,743,862,1138
  └─ Profit for EPS,656,747,899,688,873,647,743,998,1111
  └─ YOY Profit Growth %,,,,-6%,,-13%,-3%,25%,30%
EPS in Rs,3.40,3.87,4.66,3.57,4.53,3.35,3.85,5.18,5.76
Raw PDF,,,,,,,,,
