Metric,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2025,Dec 2025,Mar 2026
Sales,11,22,32,13,35,47,36,53,60,69,92,91,103
  └─ YOY Sales Growth %,-83.28%,-71.25%,-42.27%,62.83%,214.26%,117.82%,12.01%,306.77%,72.89%,47.31%,,,12.46%
Expenses,19,23,34,23,31,36,35,50,51,51,62,81,79
  └─ Material Cost %,12.44%,15.87%,17.18%,15.68%,18.44%,16.61%,14.89%,14.82%,16.92%,12.50%,9.65%,10.38%,9.59%
  └─ Employee Cost %,73.12%,38.32%,31.98%,58.60%,30.90%,24.43%,30.40%,22.83%,21.46%,20.82%,23.48%,23.81%,22.10%
Operating Profit,-8,-2,-2,-10,4,11,1,3,9,19,29,10,23
OPM %,-72%,-8%,-7%,-73%,11%,23%,2%,6%,15%,27%,32%,11%,23%
Other Income,1,1,-567,0,-319,-4,-2,0,0,1,187,-40,-7
  └─ Exceptional items,0.00,0.00,-569.15,0.00,-321.38,-4.57,-3.04,0.00,0.00,0.00,184.67,-40.28,-7.95
  └─ Other income normal,1.36,1.32,1.73,0.04,2.49,0.52,1.20,0.14,0.38,1.18,1.98,0.00,0.55
Interest,25,8,34,27,25,23,35,31,33,31,33,21,14
Depreciation,4,4,4,4,4,8,9,6,6,6,7,5,4
Profit before tax,-36,-12,-607,-40,-344,-25,-45,-33,-30,-17,176,-56,-2
Tax %,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,1%,0%,-1634%
Net Profit,-36,-12,-618,-40,-344,-25,-45,-33,-30,-17,174,-56,31
  └─ Minority share,3,1,-6,0,28,1,-1,0,-0,0,0,0,0
  └─ Exceptional items AT,0,0,-560,0,-321,-5,-3,0,0,0,183,-40,-8
  └─ Profit excl Excep,-36,-12,-58,-40,-22,-20,-42,-33,-30,-17,-8,-16,39
  └─ Profit for PE,-33,-11,-64,-40,-21,-20,-43,-33,-30,-17,-8,-16,39
  └─ Profit for EPS,-33,-11,-624,-40,-315,-24,-46,-33,-30,-17,174,-56,31
  └─ YOY Profit Growth %,-188%,-27%,-132%,-51%,37%,-75%,33%,17%,-45%,14%,,,564%
EPS in Rs,-16.83,-5.77,-320.61,-20.65,-162.14,-12.38,-23.49,-17.18,-15.34,-8.68,89.54,-29.03,7.34
Raw PDF,,,,,,,,,,,,,
