Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1116,1094,1260,1283,1223,1325,1453,1568,1539,1658,1971,2024
  └─ YOY Sales Growth %,,,,,9.61%,21.11%,15.31%,22.23%,25.80%,25.17%,35.65%,29.06%
Expenses,852,860,1000,976,1029,1024,1061,1195,1193,1243,1460,1540
  └─ Employee Cost %,59%,62%,63%,62%,70%,61%,59%,62%,64%,62%,62%,63%
Operating Profit,264,234,260,307,194,301,392,373,346,415,511,485
OPM %,24%,21%,21%,24%,16%,23%,27%,24%,22%,25%,26%,24%
Other Income,11,29,6,5,24,15,44,10,10,58,-24,25
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.82,0.00
  └─ Other income normal,11.46,29.07,5.69,4.57,24.43,15.34,43.95,10.12,9.89,58.17,8.42,24.78
Interest,47,48,47,43,37,30,30,30,27,25,25,22
Depreciation,166,171,176,176,110,126,116,114,118,122,124,124
Profit before tax,62,43,44,93,71,160,290,239,210,327,339,363
Tax %,31%,19%,-62%,14%,69%,27%,25%,24%,29%,23%,21%,29%
Net Profit,42,35,71,80,22,117,217,183,149,251,268,258
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,-24,0
  └─ Profit excl Excep,42,35,71,80,22,117,217,183,149,251,292,258
  └─ Profit for PE,42,35,71,80,22,117,217,183,149,251,292,258
  └─ Profit for EPS,42,35,71,80,22,117,217,183,149,251,268,258
  └─ YOY Profit Growth %,,,,,-48%,236%,207%,128%,566%,114%,35%,41%
EPS in Rs,0.22,0.18,0.37,0.19,0.05,0.25,0.46,0.39,0.32,0.54,0.57,0.55
Raw PDF,,,,,,,,,,,,
