Metric,Mar 2016,Dec 2016,Mar 2017
Sales,4.45,4.08,4.12
  └─ YOY Sales Growth %,,,-7.42%
Expenses,4.38,4.13,4.32
  └─ Material Cost %,50%,61%,67%
  └─ Employee Cost %,19%,20%,18%
Operating Profit,0.07,-0.05,-0.20
OPM %,1.57%,-1.23%,-4.85%
Other Income,0.07,0.01,0.89
  └─ Exceptional items,0.00,0.00,0.22
  └─ Other income normal,0.07,0.01,0.67
Interest,0.10,0.13,0.20
Depreciation,0.08,0.11,0.15
Profit before tax,-0.04,-0.28,0.34
Tax %,0.00%,0.00%,17.65%
Net Profit,-0.04,-0.28,0.27
  └─ Exceptional items AT,0,0,0
  └─ Profit excl Excep,-0,-0,0
  └─ Profit for PE,-0,-0,0
  └─ Profit for EPS,-0,-0,0
  └─ YOY Profit Growth %,,,225%
EPS in Rs,-0.04,-0.29,0.28
Raw PDF,,,
