Metric,Mar 2025,Sep 2025,Mar 2026
Sales,11.70,9.93,12.72
Expenses,10.70,9.26,11.25
  └─ Material Cost %,82%,87%,86%
  └─ Employee Cost %,2%,2%,2%
Operating Profit,1.00,0.67,1.47
OPM %,8.55%,6.75%,11.56%
Other Income,0.23,0.17,0.11
  └─ Other income normal,0.23,0.17,0.11
Interest,0.02,0.00,0.03
Depreciation,0.24,0.20,0.21
Profit before tax,0.97,0.64,1.34
Tax %,20.62%,28.12%,21.64%
Net Profit,0.77,0.45,1.06
  └─ Profit excl Excep,0.77,0.45,1.06
  └─ Profit for PE,0.77,0.45,1.06
  └─ Profit for EPS,0.77,0.45,1.06
EPS in Rs,1.72,1.01,2.37
Raw PDF,,,
