Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.55,0.24,0.05,1.24,1.43,1.76,2.70,5.10
  └─ YOY Sales Growth %,,,,,160%,633%,5300%,311%
Expenses,0.39,0.22,0.12,1.05,1.35,1.65,2.59,5.06
  └─ Material Cost %,49%,62%,60%,79%,86%,89%,92%,95%
  └─ Employee Cost %,5%,12%,60%,1%,4%,3%,2%,1%
Operating Profit,0.16,0.02,-0.07,0.19,0.08,0.11,0.11,0.04
OPM %,29.09%,8.33%,-140.00%,15.32%,5.59%,6.25%,4.07%,0.78%
Other Income,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.05
  └─ Other income normal,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.05
Interest,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00
Depreciation,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02
Profit before tax,0.16,0.02,-0.07,0.17,0.10,0.12,0.09,0.07
Tax %,0.00%,100.00%,0.00%,29.41%,20.00%,16.67%,22.22%,42.86%
Net Profit,0.16,0.00,-0.07,0.12,0.08,0.10,0.08,0.04
  └─ Profit excl Excep,0,0,-0,0,0,0,0,0
  └─ Profit for PE,0,0,-0,0,0,0,0,0
  └─ Profit for EPS,0,0,-0,0,0,0,0,0
  └─ YOY Profit Growth %,,,,,-50%,,214%,-67%
EPS in Rs,0.25,0.00,-0.11,0.18,0.12,0.15,0.12,0.06
Raw PDF,,,,,,,,
