Metric,Jun 2024,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,5.64,5.35,1.31,7.77,8.84
  └─ YOY Sales Growth %,,-5.14%,,,
Expenses,3.68,3.89,2.81,5.21,5.23
  └─ Employee Cost %,19.15%,23.74%,89.31%,21.62%,19.23%
Operating Profit,1.96,1.46,-1.50,2.56,3.61
OPM %,34.75%,27.29%,-114.50%,32.95%,40.84%
Other Income,0.08,0.35,0.38,0.28,0.38
  └─ Other income normal,0.08,0.35,0.38,0.28,0.38
Interest,0.11,0.02,0.01,0.02,0.02
Depreciation,0.35,0.36,0.37,0.39,0.40
Profit before tax,1.58,1.43,-1.50,2.43,3.57
Tax %,25.95%,20.98%,-19.33%,24.28%,32.77%
Net Profit,1.17,1.13,-1.21,1.84,2.39
  └─ Minority share,-0.07,-0.10,0.14,-0.09,-0.11
  └─ Profit excl Excep,1.17,1.13,-1.21,1.84,2.39
  └─ Profit for PE,1.10,1.03,-1.07,1.75,2.28
  └─ Profit for EPS,1.10,1.03,-1.07,1.75,2.28
  └─ YOY Profit Growth %,,-6.36%,,,
EPS in Rs,1.02,0.66,-0.69,1.13,1.47
Raw PDF,,,,,
