Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,402,528,1072,1028,1131,1152,1739
  └─ YOY Sales Growth %,,,,,181%,118%,62%
Expenses,310,326,711,677,732,739,1168
  └─ Material Cost %,69%,51%,58%,54%,53%,53%,58%
  └─ Employee Cost %,2%,4%,2%,3%,3%,3%,2%
Operating Profit,93,202,361,350,399,413,571
OPM %,23%,38%,34%,34%,35%,36%,33%
Other Income,11,10,3,14,18,16,5
  └─ Other income normal,11.02,10.27,3.25,14.40,18.39,15.69,5.03
Interest,17,37,46,53,55,33,13
Depreciation,23,54,66,72,71,74,79
Profit before tax,64,122,253,240,292,322,484
Tax %,45%,19%,18%,22%,18%,18%,19%
Net Profit,35,99,207,188,238,264,392
  └─ Profit excl Excep,35,99,207,188,238,264,392
  └─ Profit for PE,35,99,207,188,238,264,392
  └─ Profit for EPS,35,99,207,188,238,264,392
  └─ YOY Profit Growth %,,,,,577%,166%,89%
EPS in Rs,32.54,91.92,38.39,3.16,4.01,3.81,5.67
Raw PDF,,,,,,,
