Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,95.80,69.49,9.38,19.89,5.82,6.11,0.00,0.00
Expenses,100.13,65.33,9.45,19.11,6.11,11.34,0.45,0.50
  └─ Material Cost %,103.73%,92.42%,96.38%,92.96%,102.41%,99.18%,,
  └─ Employee Cost %,0.18%,0.27%,0.85%,1.56%,1.20%,5.07%,,
Operating Profit,-4.33,4.16,-0.07,0.78,-0.29,-5.23,-0.45,-0.50
OPM %,-4.52%,5.99%,-0.75%,3.92%,-4.98%,-85.60%,,
Other Income,2.79,-1.12,0.39,0.64,1.45,0.58,0.67,1.56
  └─ Exceptional items,0.00,-0.02,0.00,-0.03,0.00,0.00,0.00,0.00
  └─ Other income normal,2.79,-1.10,0.39,0.67,1.45,0.58,0.67,1.56
Interest,0.01,0.04,0.07,0.08,0.08,0.12,0.12,0.11
Depreciation,0.01,0.16,0.11,0.02,0.34,0.32,0.41,0.26
Profit before tax,-1.56,2.84,0.14,1.32,0.74,-5.09,-0.31,0.69
Tax %,0.00%,13.38%,14.29%,28.79%,5.41%,-0.98%,-9.68%,0.00%
Net Profit,-1.55,2.46,0.11,0.93,0.71,-5.05,-0.28,0.69
  └─ Exceptional items AT,0.00,-0.02,0.00,-0.02,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,-1.55,2.48,0.11,0.95,0.71,-5.05,-0.28,0.69
  └─ Profit for PE,-1.55,2.48,0.11,0.95,0.71,-5.05,-0.28,0.69
  └─ Profit for EPS,-1.55,2.46,0.11,0.93,0.71,-5.05,-0.28,0.69
EPS in Rs,-4.27,5.82,0.26,2.20,1.68,-11.95,-0.66,1.63
Raw PDF,,,,,,,,
