Metric,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012
Sales,8.89,8.44,9.12,9.19,12.96,12.33,13.72,13.81,17.39,15.21,18.15
  └─ YOY Sales Growth %,,,,,45.78%,46.09%,50.44%,50.27%,34.18%,23.36%,32.29%
Expenses,8.35,7.78,8.32,7.92,12.07,11.54,12.73,13.08,16.37,14.17,16.88
  └─ Material Cost %,69%,68%,66%,58%,71%,70%,65%,75%,71%,70%,70%
  └─ Employee Cost %,2%,2%,2%,3%,2%,2%,2%,-3%,2%,2%,2%
Operating Profit,0.54,0.66,0.80,1.27,0.89,0.79,0.99,0.73,1.02,1.04,1.27
OPM %,6.07%,7.82%,8.77%,13.82%,6.87%,6.41%,7.22%,5.29%,5.87%,6.84%,7.00%
Other Income,0.28,0.36,1.15,-0.69,0.17,0.22,0.19,0.16,0.17,0.22,0.20
  └─ Exceptional items,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.28,0.36,0.26,-0.69,0.17,0.22,0.19,0.16,0.17,0.22,0.20
Interest,0.29,0.27,0.31,0.32,0.29,0.41,0.39,0.29,0.44,0.52,0.54
Depreciation,0.21,0.22,0.23,0.22,0.23,0.23,0.22,0.24,0.27,0.30,0.29
Profit before tax,0.32,0.53,1.41,0.04,0.54,0.37,0.57,0.36,0.48,0.44,0.64
Tax %,53.12%,30.19%,33.33%,75.00%,33.33%,40.54%,33.33%,41.67%,35.42%,54.55%,35.94%
Net Profit,0.15,0.37,0.94,0.01,0.36,0.22,0.38,0.21,0.31,0.20,0.41
  └─ Exceptional items AT,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,0.15,0.37,0.35,0.01,0.36,0.22,0.38,0.21,0.31,0.20,0.41
  └─ Profit for PE,0.15,0.37,0.35,0.01,0.36,0.22,0.38,0.21,0.31,0.20,0.41
  └─ Profit for EPS,0.15,0.37,0.94,0.01,0.36,0.22,0.38,0.21,0.31,0.20,0.41
  └─ YOY Profit Growth %,,,,,140.00%,-40.54%,8.57%,2000.00%,-13.89%,-9.09%,7.89%
EPS in Rs,0.11,0.27,0.69,0.01,0.26,0.16,0.28,0.15,0.23,0.15,0.30
Raw PDF,,,,,,,,,,,
