Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,304,310,290,288,529,33,12,129,138,153,153,151,170
  └─ YOY Sales Growth %,-0.78%,10.77%,-6.61%,-8.05%,73.73%,-89.31%,-95.87%,-55.20%,-73.85%,360.45%,1176.25%,17.12%,22.82%
Expenses,241,250,224,236,437,43,24,135,147,149,151,147,149
  └─ Material Cost %,53.38%,52.28%,49.86%,54.06%,50.49%,82.33%,69.48%,47.88%,41.74%,47.86%,50.86%,46.56%,36.21%
  └─ Employee Cost %,11.70%,12.57%,12.93%,12.90%,11.71%,18.36%,48.49%,23.03%,22.66%,21.30%,23.76%,21.18%,21.92%
Operating Profit,64,60,66,52,91,-10,-12,-7,-9,4,1,4,21
OPM %,21%,19%,23%,18%,17%,-29%,-99%,-5%,-7%,2%,1%,3%,12%
Other Income,-16,6,7,7,458,11,13,16,220,15,18,22,-3
  └─ Exceptional items,-26.65,0.00,0.00,0.00,386.97,0.00,0.00,-0.73,215.88,0.00,0.00,-5.85,-5.15
  └─ Other income normal,10.21,5.61,7.40,7.11,71.26,11.14,13.01,16.64,4.46,14.58,17.86,27.58,2.22
Interest,22,20,21,21,3,0,0,10,-27,1,2,1,-2
Depreciation,9,14,13,14,20,0,0,6,7,7,7,9,8
Profit before tax,16,32,39,24,527,1,1,-7,230,10,10,16,12
Tax %,255%,45%,18%,19%,6%,-3%,31%,-16%,4%,17%,22%,42%,-26%
Net Profit,-25,17,32,19,494,1,0,-5,222,9,8,10,15
  └─ Profit from Associates,-0.08,-0.15,-0.18,-0.11,-0.12,-0.07,0.01,0.01,0.00,0.13,-0.05,0.02,0.01
  └─ Exceptional items AT,14.52,0.00,0.00,0.00,354.66,0.00,0.00,-0.73,204.63,0.00,0.00,-3.40,-4.18
  └─ Profit excl Excep,-39.64,17.24,31.66,19.42,139.02,0.94,0.41,-4.76,17.64,8.77,7.99,12.94,19.29
  └─ Profit for PE,-39.64,17.24,31.66,19.42,139.02,0.94,0.41,-4.76,17.64,8.77,7.99,12.94,19.29
  └─ Profit for EPS,-25.12,17.24,31.66,19.42,493.68,0.94,0.41,-5.49,222.27,8.77,7.99,9.54,15.11
  └─ YOY Profit Growth %,35.49%,-13.28%,24.94%,-29.38%,450.71%,-94.55%,-98.70%,-124.51%,-87.31%,832.98%,1848.78%,371.85%,9.35%
EPS in Rs,-4.25,2.92,5.36,3.29,83.55,0.16,0.07,-0.93,36.67,1.45,0.98,1.17,1.74
Raw PDF,,,,,,,,,,,,,
