Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,6.69,6.78,7.64,6.20,6.45,12.49,15.96,16.41,26.22,61.72,43.39,26.23,31.72
Expenses,6.26,6.59,7.10,5.72,5.86,11.70,14.63,15.54,25.12,59.45,41.20,24.81,29.80
  └─ Material Cost %,80%,86%,74%,80%,78%,86%,82%,85%,88%,89%,86%,85%,86%
  └─ Employee Cost %,3%,3%,3%,4%,4%,2%,2%,2%,2%,1%,1%,2%,2%
Operating Profit,0.43,0.19,0.54,0.48,0.59,0.79,1.33,0.87,1.10,2.27,2.19,1.42,1.92
OPM %,6.43%,2.80%,7.07%,7.74%,9.15%,6.33%,8.33%,5.30%,4.20%,3.68%,5.05%,5.41%,6.05%
Other Income,0.25,0.60,0.13,0.22,0.10,0.07,0.06,0.02,0.20,0.01,0.10,0.06,0.18
  └─ Exceptional items,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.24,0.60,0.13,0.22,0.10,0.07,0.06,0.02,0.20,0.01,0.10,0.06,0.18
Interest,0.25,0.25,0.10,0.22,0.21,0.23,0.17,0.20,0.14,0.90,0.63,0.19,0.25
Depreciation,0.32,0.29,0.28,0.26,0.26,0.22,0.23,0.20,0.20,0.18,0.38,0.52,0.23
Profit before tax,0.11,0.25,0.29,0.22,0.22,0.41,0.99,0.49,0.96,1.20,1.28,0.77,1.62
Tax %,190.91%,8.00%,34.48%,18.18%,22.73%,19.51%,29.29%,26.53%,28.12%,25.00%,28.12%,24.68%,25.31%
Net Profit,-0.10,0.22,0.20,0.17,0.17,0.33,0.70,0.36,0.68,0.89,0.93,0.59,1.21
  └─ Exceptional items AT,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,-0.09,0.22,0.20,0.17,0.17,0.33,0.70,0.36,0.68,0.89,0.93,0.59,1.21
  └─ Profit for PE,-0.09,0.22,0.20,0.17,0.17,0.33,0.70,0.36,0.68,0.89,0.93,0.59,1.21
  └─ Profit for EPS,-0.10,0.22,0.20,0.17,0.17,0.33,0.70,0.36,0.68,0.89,0.93,0.59,1.21
EPS in Rs,-0.14,0.31,0.28,0.24,0.24,0.47,1.00,0.51,0.97,1.27,1.32,0.65,1.34
Raw PDF,,,,,,,,,,,,,
