Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,177.83,65.73,47.92,50.32,55.49,67.96,59.31,60.87,64.01
  └─ YOY Sales Growth %,,,,,-68.80%,3.39%,23.77%,20.97%,15.35%
Expenses,133.45,50.22,35.24,42.06,46.39,51.97,45.79,48.22,48.16
  └─ Employee Cost %,58%,63%,56%,59%,71%,63%,61%,64%,58%
Operating Profit,44.38,15.51,12.68,8.26,9.10,15.99,13.52,12.65,15.85
OPM %,24.96%,23.60%,26.46%,16.41%,16.40%,23.53%,22.80%,20.78%,24.76%
Other Income,2.17,0.09,0.24,0.13,-0.06,0.06,0.31,0.06,1.08
  └─ Exceptional items,0.00,0.00,-0.08,0.00,-1.03,0.00,0.00,-0.01,-0.04
  └─ Other income normal,2.17,0.09,0.32,0.13,0.97,0.06,0.31,0.07,1.12
Interest,2.98,0.53,0.69,0.65,0.95,1.23,2.07,1.98,2.56
Depreciation,11.92,2.88,3.03,3.03,3.64,4.48,4.53,4.39,3.90
Profit before tax,31.65,12.19,9.20,4.71,4.45,10.34,7.23,6.34,10.47
Tax %,28.47%,25.68%,18.15%,35.03%,55.28%,26.11%,27.39%,25.71%,35.34%
Net Profit,22.64,9.06,7.53,3.06,1.97,7.64,5.25,4.71,6.77
  └─ Exceptional items AT,0,0,-0,0,-0,0,0,0,-0
  └─ Profit excl Excep,23,9,8,3,2,8,5,5,7
  └─ Profit for PE,23,9,8,3,2,8,5,5,7
  └─ Profit for EPS,23,9,8,3,2,8,5,5,7
  └─ YOY Profit Growth %,,,,,-89%,-16%,-31%,54%,180%
EPS in Rs,3.32,1.33,1.11,0.45,0.29,1.12,0.77,0.69,0.99
Raw PDF,,,,,,,,,
