Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,636,669,830,977,740,920,1139,1422
  └─ YOY Sales Growth %,,,,,16.35%,37.48%,37.32%,45.49%
Expenses,595,630,760,879,679,811,999,1165
  └─ Material Cost %,83%,80%,75%,78%,77%,70%,72%,68%
  └─ Employee Cost %,6%,7%,7%,7%,9%,9%,9%,7%
Operating Profit,41,39,69,98,61,109,140,257
OPM %,6%,6%,8%,10%,8%,12%,12%,18%
Other Income,3,252,4,0,4,3,5,2
  └─ Exceptional items,0.00,248.63,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,3.31,3.72,3.60,0.42,4.01,2.56,4.69,1.59
Interest,9,10,11,12,11,7,5,8
Depreciation,4,6,9,12,10,11,12,23
Profit before tax,30,277,53,74,44,94,127,228
Tax %,26%,15%,24%,26%,25%,25%,25%,26%
Net Profit,23,234,40,55,33,70,96,169
  └─ Exceptional items AT,0,210,0,0,0,0,0,0
  └─ Profit excl Excep,23,24,40,55,33,70,96,169
  └─ Profit for PE,23,24,40,55,33,70,96,169
  └─ Profit for EPS,23,234,40,55,33,70,96,169
  └─ YOY Profit Growth %,,,,,46%,197%,139%,208%
EPS in Rs,2.20,21.28,3.66,5.01,2.99,5.97,8.17,14.36
Raw PDF,,,,,,,,
