Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,12264,11048,11267,11550,11978,11006,11278,11233,12275,11196,11476,12395,11666
  └─ YOY Sales Growth %,14.76%,1.31%,1.04%,2.56%,-2.33%,-0.38%,0.09%,-2.74%,2.48%,1.73%,1.76%,10.35%,-4.97%
Expenses,1433,1716,1557,1375,2055,1466,1681,1700,2081,2094,2421,1788,6363
  └─ Employee Cost %,5.51%,5.44%,5.16%,5.26%,5.38%,5.61%,5.51%,5.31%,6.27%,5.72%,5.82%,5.32%,6.01%
Operating Profit,10831,9332,9710,10175,9923,9540,9597,9533,10194,9102,9055,10607,5303
OPM %,88%,84%,86%,88%,83%,87%,85%,85%,83%,81%,79%,86%,45%
Other Income,294,209,263,380,389,302,814,552,366,461,712,463,322
  └─ Other income normal,294,209,263,380,389,302,814,552,366,461,712,463,322
Interest,2475,2057,2341,2446,1928,2039,2441,1917,2303,1934,2148,2190,2175
Depreciation,3314,3266,3277,3293,3259,3200,3292,3216,3196,3130,3223,3381,3295
Profit before tax,5335,4218,4355,4816,5125,4603,4678,4952,5062,4499,4395,5497,155
Tax %,19%,15%,13%,16%,19%,19%,19%,22%,18%,19%,19%,24%,-2829%
Net Profit,4323,3597,3781,4028,4166,3724,3793,3862,4143,3631,3566,4185,4546
  └─ Profit excl Excep,4323,3597,3781,4028,4166,3724,3793,3862,4143,3631,3566,4185,4546
  └─ Profit for PE,4323,3597,3781,4028,4166,3724,3793,3862,4143,3631,3566,4185,4546
  └─ Profit for EPS,4323,3597,3781,4028,4166,3724,3793,3862,4143,3631,3566,4185,4546
  └─ YOY Profit Growth %,11%,-5%,4%,10%,-4%,4%,0%,-4%,-1%,-3%,-6%,8%,10%
EPS in Rs,4.65,3.87,4.07,4.33,4.48,4.00,4.08,4.15,4.45,3.90,3.83,4.50,4.89
Raw PDF,,,,,,,,,,,,,
