Metric,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022
Sales,27.17,22.21,28.91,20.27,23.93,34.34,25.58,23.40,23.66,22.76,16.80,25.39,19.02
  └─ YOY Sales Growth %,-22.59%,-40.38%,76.07%,-37.40%,-11.92%,54.62%,-11.52%,15.44%,-1.13%,-33.72%,-34.32%,8.50%,-19.61%
Expenses,22.96,16.73,22.44,14.93,18.00,29.59,19.78,18.07,18.31,24.27,14.55,22.97,16.23
  └─ Material Cost %,70%,52%,67%,53%,54%,74%,56%,57%,58%,82%,60%,76%,55%
  └─ Employee Cost %,3%,9%,4%,6%,5%,2%,4%,4%,5%,4%,6%,4%,5%
Operating Profit,4.21,5.48,6.47,5.34,5.93,4.75,5.80,5.33,5.35,-1.51,2.25,2.42,2.79
OPM %,15.50%,24.67%,22.38%,26.34%,24.78%,13.83%,22.67%,22.78%,22.61%,-6.63%,13.39%,9.53%,14.67%
Other Income,0.14,-0.07,0.03,0.09,-0.08,1.14,0.49,0.28,0.50,-0.24,0.65,0.42,0.24
  └─ Other income normal,0.14,-0.07,0.03,0.09,-0.08,1.14,0.49,0.28,0.50,-0.24,0.65,0.42,0.24
Interest,0.15,0.94,0.00,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.29
Depreciation,1.15,1.34,1.34,1.34,1.34,1.11,1.39,1.39,1.39,-1.96,0.55,0.55,0.55
Profit before tax,3.05,3.13,5.16,4.02,4.50,4.78,4.90,4.22,4.46,0.21,2.29,2.21,2.19
Tax %,0.00%,56.55%,19.38%,0.00%,0.00%,64.44%,25.51%,26.07%,26.01%,-495.24%,26.20%,26.24%,31.05%
Net Profit,3.06,1.36,4.16,4.02,4.50,1.69,3.65,3.12,3.30,1.26,1.70,1.64,1.51
  └─ Profit excl Excep,3,1,4,4,4,2,4,3,3,1,2,2,2
  └─ Profit for PE,3,1,4,4,4,2,4,3,3,1,2,2,2
  └─ Profit for EPS,3,1,4,4,4,2,4,3,3,1,2,2,2
  └─ YOY Profit Growth %,-50%,-61%,148%,-2%,47%,24%,-12%,-22%,-27%,-25%,-53%,-47%,-54%
EPS in Rs,1.06,0.47,1.44,1.40,1.56,0.59,1.27,1.08,1.15,0.44,0.59,0.57,0.52
Raw PDF,,,,,,,,,,,,,
