Metric,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4.75,12.78,10.29,14.22,7.97
  └─ YOY Sales Growth %,,,,,68%
Expenses,4.60,11.18,9.04,13.06,7.71
  └─ Material Cost %,86%,61%,62%,73%,97%
  └─ Employee Cost %,2%,13%,16%,12%,3%
Operating Profit,0.15,1.60,1.25,1.16,0.26
OPM %,3.16%,12.52%,12.15%,8.16%,3.26%
Other Income,0.16,-0.26,0.10,-0.07,3.57
  └─ Other income normal,0.16,-0.26,0.10,-0.07,3.57
Interest,0.13,0.33,0.13,0.23,0.07
Depreciation,0.01,0.66,0.68,0.68,-0.36
Profit before tax,0.17,0.35,0.54,0.18,4.12
Tax %,105.88%,0.00%,0.00%,0.00%,32.28%
Net Profit,-0.02,0.35,0.54,0.18,2.80
  └─ Minority share,0,0,0,-0,-0
  └─ Profit excl Excep,-0,0,1,0,3
  └─ Profit for PE,-0,0,1,0,3
  └─ Profit for EPS,-0,0,1,0,3
  └─ YOY Profit Growth %,,,,,13400%
EPS in Rs,-0.02,0.32,0.49,0.15,2.42
Raw PDF,,,,,
