Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1656,1414,1454,1732,1773,1851,1628,1843,1949,1675,2100,2318,2205
  └─ YOY Sales Growth %,-5.68%,-12.17%,-13.71%,3.86%,7.07%,30.91%,11.97%,6.41%,9.93%,-9.51%,28.99%,25.77%,13.13%
Expenses,1403,1214,1221,1473,1489,1546,1431,1612,1687,1463,1809,1997,1864
  └─ Material Cost %,58%,60%,59%,64%,60%,63%,62%,67%,64%,67%,65%,66%,60%
  └─ Employee Cost %,7%,7%,7%,6%,6%,6%,6%,6%,5%,7%,5%,5%,5%
Operating Profit,253,200,233,259,284,305,197,231,262,212,291,321,341
OPM %,15%,14%,16%,15%,16%,16%,12%,13%,13%,13%,14%,14%,15%
Other Income,0,0,0,8,-1,6,7,5,3,4,22,-13,1
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,22.00,-15.00,0.00
  └─ Other income normal,0.00,0.00,0.00,8.00,-1.00,6.00,5.00,5.00,3.00,4.00,0.00,2.00,1.00
Interest,33,40,58,54,59,64,62,85,64,60,100,69,112
Depreciation,84,89,93,97,98,102,108,111,113,114,120,121,119
Profit before tax,136,71,82,116,126,145,34,40,88,42,93,118,111
Tax %,-10%,1%,-11%,-7%,-5%,6%,-53%,-15%,-9%,-2%,-14%,-13%,-23%
Net Profit,149,70,91,124,132,137,52,46,96,43,106,133,137
  └─ Exceptional items AT,0,0,0,0,0,0,2,0,0,0,22,-15,0
  └─ Profit excl Excep,149,70,91,124,132,137,50,46,96,43,84,148,137
  └─ Profit for PE,149,70,91,124,132,137,50,46,96,43,84,148,137
  └─ Profit for EPS,149,70,91,124,132,137,52,46,96,43,106,133,137
  └─ YOY Profit Growth %,-23%,-49%,-27%,-9%,-11%,96%,-45%,-63%,-27%,-69%,68%,222%,43%
EPS in Rs,4.11,1.93,2.51,3.42,3.64,3.78,1.43,1.27,2.65,1.19,2.92,3.67,3.78
Raw PDF,,,,,,,,,,,,,
