Metric,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020
Sales,29.55,40.87,38.04,28.19,38.67,28.43,13.18,24.75,15.88,33.45,17.60,34.66,35.63
  └─ YOY Sales Growth %,86%,32%,48%,3%,31%,-30%,-65%,-12%,-59%,18%,34%,40%,124%
Expenses,26.65,31.08,28.68,26.39,32.22,28.32,15.43,27.03,16.56,27.55,14.34,32.35,32.90
  └─ Material Cost %,29.34%,26.82%,24.29%,25.19%,29.95%,36.44%,40.14%,43.19%,36.78%,31.12%,10.62%,39.70%,39.38%
  └─ Employee Cost %,6.06%,3.72%,3.94%,6.10%,4.32%,5.63%,11.76%,4.36%,7.49%,2.90%,5.62%,3.38%,2.83%
Operating Profit,2.90,9.79,9.36,1.80,6.45,0.11,-2.25,-2.28,-0.68,5.90,3.26,2.31,2.73
OPM %,9.81%,23.95%,24.61%,6.39%,16.68%,0.39%,-17.07%,-9.21%,-4.28%,17.64%,18.52%,6.66%,7.66%
Other Income,0.17,0.69,0.23,0.52,0.24,0.14,0.36,0.60,0.43,0.49,0.16,0.31,0.43
  └─ Other income normal,0.17,0.69,0.23,0.52,0.24,0.14,0.36,0.60,0.43,0.49,0.16,0.31,0.43
Interest,-0.09,0.48,0.23,0.36,0.11,0.60,0.12,0.07,0.09,0.13,0.08,0.30,0.28
Depreciation,0.61,0.71,0.72,0.69,0.69,0.66,0.58,0.57,0.57,0.57,0.46,0.46,0.46
Profit before tax,2.55,9.29,8.64,1.27,5.89,-1.01,-2.59,-2.32,-0.91,5.69,2.88,1.86,2.42
Tax %,32.94%,35.74%,34.84%,-8.66%,29.71%,-33.66%,-30.89%,-23.28%,-26.37%,26.19%,18.06%,25.27%,26.45%
Net Profit,3.54,6.95,6.82,3.15,5.55,1.14,-1.78,-1.06,-0.66,5.21,3.29,2.59,3.61
  └─ Profit from Associates,2,1,1,2,1,2,0,1,0,1,1,1,2
  └─ Profit excl Excep,4,7,7,3,6,1,-2,-1,-1,5,3,3,4
  └─ Profit for PE,4,7,7,3,6,1,-2,-1,-1,5,3,3,4
  └─ Profit for EPS,4,7,7,3,6,1,-2,-1,-1,5,3,3,4
  └─ YOY Profit Growth %,554%,5%,68%,119%,57%,-84%,-126%,-134%,-112%,357%,285%,344%,647%
EPS in Rs,0.16,0.31,0.31,0.14,0.25,0.05,-0.08,-0.05,-0.03,0.23,0.15,0.12,0.16
Raw PDF,,,,,,,,,,,,,
