Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,299,188,396,560,1327,1563,2811,2642,1907,202,262,307,333
  └─ YOY Sales Growth %,137%,50%,80%,104%,343%,731%,610%,372%,44%,-87%,-91%,-88%,-83%
Expenses,308,234,383,567,1018,1333,2277,2271,1785,338,556,441,451
  └─ Material Cost %,66%,63%,63%,74%,60%,72%,70%,74%,77%,58%,103%,56%,63%
  └─ Employee Cost %,26%,41%,20%,15%,8%,6%,4%,5%,6%,47%,36%,37%,30%
Operating Profit,-8,-46,13,-8,309,230,535,372,122,-136,-294,-134,-118
OPM %,-3%,-24%,3%,-1%,23%,15%,19%,14%,6%,-67%,-112%,-44%,-36%
Other Income,21,19,18,15,12,13,11,14,8,10,6,8,10
  └─ Other income normal,21.27,19.24,17.97,15.16,12.29,13.03,10.61,13.74,8.04,9.55,6.01,7.54,10.28
Interest,5,5,7,8,31,57,61,63,71,75,84,72,72
Depreciation,35,34,42,48,58,65,74,111,103,96,101,104,101
Profit before tax,-27,-66,-18,-49,233,122,411,211,-45,-297,-473,-303,-281
Tax %,-58%,-60%,-29%,-8%,37%,36%,33%,22%,59%,-35%,-35%,-35%,-25%
Net Profit,-11,-26,-13,-45,147,77,275,166,-72,-194,-307,-197,-211
  └─ Profit excl Excep,-11,-26,-13,-45,147,77,275,166,-72,-194,-307,-197,-211
  └─ Profit for PE,-11,-26,-13,-45,147,77,275,166,-72,-194,-307,-197,-211
  └─ Profit for EPS,-11,-26,-13,-45,147,77,275,166,-72,-194,-307,-197,-211
  └─ YOY Profit Growth %,77%,-296%,-300%,-196%,1380%,395%,2277%,469%,-149%,-350%,-212%,-219%,-194%
EPS in Rs,-0.68,-1.55,-0.74,-2.64,8.60,4.53,16.07,9.43,-4.07,-10.98,-17.36,-11.07,-11.89
Raw PDF,,,,,,,,,,,,,
