Metric,Jun 2008,Sep 2008,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011
Revenue,8.55,10.73,6.86,8.98,9.71,12.60,11.46,9.86,8.98,11.43,9.06,9.79
  └─ YOY Sales Growth %,,,-19.77%,-16.31%,,,67.06%,9.80%,-7.52%,-9.29%,-20.94%,-0.71%
Interest,0.05,0.06,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,7.07,9.44,6.96,8.57,9.10,10.55,8.89,8.87,8.57,8.83,8.77,9.25
  └─ Material Cost %,1.87%,8.29%,2.62%,4.68%,3.50%,7.78%,6.81%,-0.61%,2.67%,4.72%,0.66%,0.00%
  └─ Employee Cost %,8.07%,6.52%,10.20%,7.68%,7.31%,11.11%,6.89%,7.81%,8.35%,6.74%,8.50%,7.97%
Financing Profit,1.43,1.23,-0.12,0.40,0.60,2.05,2.57,0.99,0.41,2.60,0.29,0.54
Financing Margin %,16.73%,11.46%,-1.75%,4.45%,6.18%,16.27%,22.43%,10.04%,4.57%,22.75%,3.20%,5.52%
Other Income,2.16,1.02,1.88,1.69,0.60,1.50,-0.60,1.77,0.66,0.40,1.28,0.58
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00
  └─ Other income normal,2.16,1.02,1.88,1.69,0.60,1.50,-0.60,1.77,0.66,0.40,0.34,0.58
Depreciation,0.86,0.88,0.89,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.89,0.88
Profit before tax,2.73,1.37,0.87,1.19,0.30,2.65,1.07,1.86,0.17,2.10,0.68,0.24
Tax %,9.89%,11.68%,4.60%,5.04%,43.33%,26.79%,13.08%,1.61%,-23.53%,42.86%,0.00%,-116.67%
Net Profit,2.46,1.21,0.83,1.13,0.17,1.94,0.93,1.83,0.21,1.20,0.68,0.52
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,1,0
  └─ Profit excl Excep,2,1,1,1,0,2,1,2,0,1,-0,1
  └─ Profit for PE,2,1,1,1,0,2,1,2,0,1,-0,1
  └─ Profit for EPS,2,1,1,1,0,2,1,2,0,1,1,1
  └─ YOY Profit Growth %,,,-66%,-7%,,,12%,62%,24%,-38%,-128%,-72%
EPS in Rs,164.00,80.67,55.33,75.33,11.33,129.33,62.00,122.00,14.00,80.00,45.33,34.67
Gross NPA %,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,
