Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,498.56,473.49,454.81,694.57,516.22,444.56,535.10,833.99,619.95
  └─ YOY Sales Growth %,,,,,3.54%,-6.11%,17.65%,20.07%,20.09%
Expenses,473.81,454.31,437.23,674.40,492.00,428.08,518.99,806.34,591.12
  └─ Material Cost %,88%,88%,88%,91%,87%,87%,90%,91%,88%
  └─ Employee Cost %,4%,5%,5%,3%,5%,5%,4%,4%,5%
Operating Profit,24.75,19.18,17.58,20.17,24.22,16.48,16.11,27.65,28.83
OPM %,4.96%,4.05%,3.87%,2.90%,4.69%,3.71%,3.01%,3.32%,4.65%
Other Income,1.60,1.79,1.60,2.71,2.57,2.69,2.38,1.47,-0.72
  └─ Exceptional items,-0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.15
  └─ Other income normal,2.07,1.79,1.60,2.71,2.57,2.69,2.38,1.47,2.43
Interest,5.75,6.96,7.09,8.60,7.67,8.21,9.36,8.94,6.97
Depreciation,6.20,6.55,7.02,7.60,8.08,7.99,7.70,8.48,8.78
Profit before tax,14.40,7.46,5.07,6.68,11.04,2.97,1.43,11.70,12.36
Tax %,33.26%,22.92%,28.21%,29.49%,32.97%,9.76%,-5.59%,34.02%,30.02%
Net Profit,9.61,5.75,3.63,4.71,7.40,2.68,1.51,7.72,8.65
  └─ Exceptional items AT,-0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.21
  └─ Profit excl Excep,9.92,5.75,3.63,4.71,7.40,2.68,1.51,7.72,10.86
  └─ Profit for PE,9.92,5.75,3.63,4.71,7.40,2.68,1.51,7.72,10.86
  └─ Profit for EPS,9.61,5.75,3.63,4.71,7.40,2.68,1.51,7.72,8.65
  └─ YOY Profit Growth %,,,,,-25.40%,-53.39%,-58.40%,63.91%,46.76%
EPS in Rs,15.64,9.36,5.91,7.66,12.04,4.36,2.46,12.56,14.07
Raw PDF,,,,,,,,,
