Metric,Jun 2017,Mar 2018,Jun 2018
Sales,48.88,87.18,81.28
  └─ YOY Sales Growth %,,,66%
Expenses,46.97,77.43,75.42
  └─ Material Cost %,55%,62%,62%
  └─ Employee Cost %,14%,8%,10%
Operating Profit,1.91,9.75,5.86
OPM %,3.91%,11.18%,7.21%
Other Income,0.43,-0.19,0.42
  └─ Exceptional items,0.00,-0.26,0.00
  └─ Other income normal,0.43,0.07,0.42
Interest,4.82,6.14,5.71
Depreciation,2.10,2.24,2.33
Profit before tax,-4.58,1.18,-1.76
Tax %,-36.24%,65.25%,-38.07%
Net Profit,-2.92,0.41,-1.09
  └─ Exceptional items AT,0,-0,0
  └─ Profit excl Excep,-3,0,-1
  └─ Profit for PE,-3,0,-1
  └─ Profit for EPS,-3,0,-1
  └─ YOY Profit Growth %,,,63%
EPS in Rs,-1.66,0.23,-0.62
Raw PDF,,,
