Metric,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023
Sales,0.51,0.50,0.77,0.73,1.29,2.19,1.10,2.19,1.42,1.58,0.93,1.81,1.42
  └─ YOY Sales Growth %,,,,,152.94%,338.00%,42.86%,200.00%,10.08%,-27.85%,-15.45%,-17.35%,0.00%
Expenses,0.59,0.50,0.51,0.48,0.85,0.72,0.74,0.54,0.49,0.86,1.40,1.21,0.79
  └─ Employee Cost %,25.49%,24.00%,27.27%,17.81%,8.53%,2.74%,24.55%,9.13%,8.45%,6.33%,29.03%,12.15%,9.15%
Operating Profit,-0.08,0.00,0.26,0.25,0.44,1.47,0.36,1.65,0.93,0.72,-0.47,0.60,0.63
OPM %,-15.69%,0.00%,33.77%,34.25%,34.11%,67.12%,32.73%,75.34%,65.49%,45.57%,-50.54%,33.15%,44.37%
Other Income,0.00,0.00,0.01,0.00,0.00,0.00,0.28,0.01,0.03,0.13,0.01,0.00,0.01
  └─ Other income normal,0.00,0.00,0.01,0.00,0.00,0.00,0.28,0.01,0.03,0.13,0.01,0.00,0.01
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.29,0.29,2.38,0.29,1.06,0.81,1.00,0.58,0.68,0.82,0.95,0.76,0.76
Profit before tax,-0.37,-0.29,-2.11,-0.04,-0.62,0.66,-0.36,1.08,0.28,0.03,-1.41,-0.16,-0.12
Tax %,0.00%,0.00%,37.91%,0.00%,0.00%,0.00%,-200.00%,25.00%,0.00%,0.00%,33.33%,0.00%,0.00%
Net Profit,-0.37,-0.29,-2.91,-0.04,-0.62,0.66,0.35,0.81,0.28,0.03,-1.87,-0.15,-0.12
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,1,-0,-0
  └─ Profit excl Excep,-0,-0,-3,-0,-1,1,0,1,0,0,-2,-0,-0
  └─ Profit for PE,-0,-0,-3,-0,-1,1,0,1,0,0,-1,-0,-0
  └─ Profit for EPS,-0,-0,-3,-0,-1,1,0,1,0,0,-1,-0,-0
  └─ YOY Profit Growth %,,,,,-68%,328%,112%,2125%,145%,-95%,-460%,-122%,-168%
EPS in Rs,-0.22,-0.17,-1.71,-0.02,-0.36,0.39,0.21,0.48,0.16,0.02,-0.74,-0.11,-0.11
Raw PDF,,,,,,,,,,,,,
