Metric,Mar 2019,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023
  └─ Material Cost %,113%,161%,40%,,11475%,110%,,,99%
  └─ Employee Cost %,2%,14%,1%,,175%,2%,,,2%
  └─ Other income normal,0.50,2.47,0.26,1.01,2.13,0.33,0.43,0.29,0.38
  └─ Profit excl Excep,-4.81,-3.32,4.00,-22.43,-2.79,-15.92,-2.57,-0.47,-0.60
  └─ Profit for PE,-4.81,-3.32,4.00,-22.43,-2.79,-15.92,-2.57,-0.47,-0.60
  └─ Profit for EPS,-4.81,-3.32,4.00,-22.43,-2.79,-15.92,-2.57,-0.47,-0.60
