Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,20.05,22.08,16.16,20.24,18.12,19.07,17.39,17.38,17.72
  └─ YOY Sales Growth %,,,,,-9.63%,-13.63%,7.61%,-14.13%,-2.21%
Expenses,18.26,19.94,15.25,18.74,19.17,17.88,17.39,18.12,17.15
  └─ Employee Cost %,1.65%,1.59%,1.98%,1.83%,2.10%,2.10%,2.24%,3.34%,2.14%
Operating Profit,1.79,2.14,0.91,1.50,-1.05,1.19,0.00,-0.74,0.57
OPM %,8.93%,9.69%,5.63%,7.41%,-5.79%,6.24%,0.00%,-4.26%,3.22%
Other Income,0.73,0.42,0.47,0.72,0.45,2.04,1.42,0.69,-1.58
  └─ Other income normal,0.73,0.42,0.47,0.72,0.45,2.04,1.42,0.69,-1.58
Interest,0.59,0.51,0.56,0.66,0.59,0.57,0.57,0.53,0.51
Depreciation,0.50,0.53,0.45,0.65,-0.03,0.40,0.40,0.47,0.47
Profit before tax,1.43,1.52,0.37,0.91,-1.16,2.26,0.45,-1.05,-1.99
Tax %,-33.57%,14.47%,16.22%,17.58%,-4.31%,10.62%,22.22%,0.00%,82.41%
Net Profit,1.91,1.30,0.31,0.74,-1.12,2.02,0.34,-1.05,-3.64
  └─ Profit excl Excep,2,1,0,1,-1,2,0,-1,-4
  └─ Profit for PE,2,1,0,1,-1,2,0,-1,-4
  └─ Profit for EPS,2,1,0,1,-1,2,0,-1,-4
  └─ YOY Profit Growth %,,,,,-159%,55%,10%,-242%,-225%
EPS in Rs,0.19,0.13,0.03,0.06,-0.09,0.17,0.03,-0.08,-0.29
Raw PDF,,,,,,,,,
