Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1573,1494,1798,1835,1682,1743,1713,1667,1864,1707,1787,1574,1633
  └─ YOY Sales Growth %,-15.86%,-11.08%,25.03%,11.81%,6.93%,16.67%,-4.71%,-9.17%,10.82%,-2.06%,4.33%,-5.56%,-12.43%
Expenses,1305,1262,1557,1572,1477,1517,1487,1453,1619,1415,1573,1439,1405
  └─ Material Cost %,49.84%,49.09%,51.12%,50.55%,52.07%,51.88%,51.02%,51.65%,51.77%,48.71%,53.69%,54.07%,48.89%
  └─ Employee Cost %,10.57%,12.47%,12.05%,12.81%,14.20%,13.01%,13.06%,13.94%,12.83%,12.85%,12.60%,13.74%,12.60%
Operating Profit,269,231,240,263,205,225,226,214,245,292,214,136,227
OPM %,17%,15%,13%,14%,12%,13%,13%,13%,13%,17%,12%,9%,14%
Other Income,7,11,15,14,18,15,11,15,19,20,17,23,21
  └─ Exceptional items,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,7.08,11.37,14.43,13.77,18.19,14.87,11.36,15.27,19.02,20.01,17.47,23.47,21.07
Interest,22,32,35,40,49,47,46,35,3,31,25,26,32
Depreciation,80,89,89,90,96,92,92,93,90,93,83,72,70
Profit before tax,173,122,130,146,78,102,99,102,172,188,124,62,146
Tax %,24%,25%,31%,25%,24%,28%,16%,21%,22%,25%,27%,28%,30%
Net Profit,131,91,90,109,59,74,83,80,133,140,91,44,102
  └─ Minority share,-1,2,0,-1,-2,-0,-0,-0,-0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,131,91,90,109,59,74,83,80,133,140,91,44,102
  └─ Profit for PE,130,93,91,109,57,74,83,80,133,140,91,44,102
  └─ Profit for EPS,130,93,91,109,57,74,83,80,133,140,91,44,102
  └─ YOY Profit Growth %,-28%,-28%,142%,-25%,-56%,-21%,-8%,-27%,135%,90%,9%,-44%,-23%
EPS in Rs,0.25,0.18,0.18,0.21,0.11,0.14,0.16,0.16,0.26,0.27,0.18,0.09,0.20
Raw PDF,,,,,,,,,,,,,
