Metric,Mar 2025,Dec 2025,Mar 2026
Sales,67.41,72.71,74.50
  └─ YOY Sales Growth %,,,10.52%
Expenses,66.56,66.29,70.04
  └─ Material Cost %,56.95%,51.68%,49.11%
  └─ Employee Cost %,14.80%,15.33%,14.93%
Operating Profit,0.85,6.42,4.46
OPM %,1.26%,8.83%,5.99%
Other Income,4.04,3.81,3.75
  └─ Other income normal,4.04,3.81,3.75
Interest,0.27,1.05,0.94
Depreciation,1.09,1.37,1.17
Profit before tax,3.53,7.81,6.10
Tax %,14.45%,24.33%,39.84%
Net Profit,3.02,5.90,3.66
  └─ Profit excl Excep,3.02,5.90,3.66
  └─ Profit for PE,3.02,5.90,3.66
  └─ Profit for EPS,3.02,5.90,3.66
  └─ YOY Profit Growth %,,,21.19%
EPS in Rs,,,
Raw PDF,,,
