Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1174,865,932,1108,1302,1007,1035,1338,1853,1293,1238,1420,2111
  └─ YOY Sales Growth %,30.11%,15.87%,20.89%,21.82%,10.85%,16.44%,11.05%,20.81%,42.39%,28.39%,19.54%,6.10%,13.89%
Expenses,1047,766,822,975,1152,894,912,1187,1639,1123,1092,1260,1885
  └─ Material Cost %,76%,72%,71%,74%,75%,72%,71%,74%,77%,71%,72%,73%,78%
  └─ Employee Cost %,11%,15%,15%,13%,12%,15%,15%,13%,10%,13%,14%,14%,10%
Operating Profit,127,99,111,133,150,113,123,151,214,170,146,160,226
OPM %,11%,11%,12%,12%,11%,11%,12%,11%,12%,13%,12%,11%,11%
Other Income,9,6,4,7,10,9,10,9,17,11,11,13,10
  └─ Other income normal,9.10,5.92,4.44,7.44,10.33,9.23,10.11,9.33,16.73,11.37,10.93,13.43,9.94
Interest,24,20,25,23,26,22,19,25,34,29,28,30,28
Depreciation,13,10,10,12,12,12,13,14,16,16,17,19,21
Profit before tax,100,75,80,105,122,88,101,121,181,136,111,124,187
Tax %,25%,32%,36%,41%,31%,30%,31%,29%,28%,41%,30%,20%,18%
Net Profit,75,51,51,62,84,62,70,87,130,81,78,100,153
  └─ Minority share,1,0,0,-1,0,-2,-2,-5,-13,-28,-3,-6,-11
  └─ Profit excl Excep,75,51,51,62,84,62,70,87,130,81,78,100,153
  └─ Profit for PE,75,51,51,62,85,60,67,82,117,53,75,94,143
  └─ Profit for EPS,75,51,51,62,85,60,67,82,117,53,75,94,143
  └─ YOY Profit Growth %,58%,29%,17%,22%,12%,18%,31%,33%,39%,-13%,12%,15%,22%
EPS in Rs,25.23,17.11,17.20,19.47,26.74,19.03,21.22,25.95,37.08,16.61,23.70,29.73,45.09
Raw PDF,,,,,,,,,,,,,
