Metric,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018
Sales,67.13,71.76,77.03,91.88,74.72,134.24,131.52,134.32,134.49,159.73,128.22,147.23,175.93
  └─ YOY Sales Growth %,,78.06%,69.97%,59.79%,11.31%,87.07%,70.74%,46.19%,79.99%,18.99%,-2.51%,9.61%,30.81%
Expenses,57.43,62.31,68.75,81.11,65.57,113.86,113.90,115.84,115.26,138.69,109.45,129.80,156.91
  └─ Material Cost %,81%,79%,81%,79%,75%,75%,77%,77%,76%,80%,76%,77%,80%
  └─ Employee Cost %,1%,2%,3%,3%,4%,3%,3%,3%,3%,3%,3%,3%,3%
Operating Profit,9.70,9.45,8.28,10.77,9.15,20.38,17.62,18.48,19.23,21.04,18.77,17.43,19.02
OPM %,14.45%,13.17%,10.75%,11.72%,12.25%,15.18%,13.40%,13.76%,14.30%,13.17%,14.64%,11.84%,10.81%
Other Income,0.00,90.31,0.65,1.23,1.39,1.55,0.36,0.63,0.59,1.39,1.81,3.28,3.12
  └─ Exceptional items,0.00,79.06,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.03
  └─ Other income normal,0.00,11.25,0.65,1.24,1.39,1.55,0.36,0.63,0.59,1.39,1.81,3.31,3.15
Interest,2.25,3.18,3.80,4.74,5.26,6.85,6.29,6.98,6.85,9.36,8.31,7.84,8.66
Depreciation,0.33,0.35,2.67,2.66,2.26,2.54,2.59,2.64,2.61,2.65,2.99,3.15,2.87
Profit before tax,7.12,96.23,2.46,4.60,3.02,12.54,9.10,9.49,10.36,10.42,9.28,9.72,10.61
Tax %,32.44%,2.00%,38.21%,34.78%,31.79%,-87.24%,33.74%,35.30%,33.98%,34.84%,36.42%,34.16%,35.72%
Net Profit,4.81,94.31,1.51,3.01,2.06,23.48,6.03,6.14,6.84,6.79,5.89,6.40,6.83
  └─ Exceptional items AT,0.00,77.49,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.02
  └─ Profit excl Excep,4.81,16.82,1.51,3.02,2.06,23.48,6.03,6.14,6.84,6.79,5.89,6.42,6.85
  └─ Profit for PE,4.81,16.82,1.51,3.02,2.06,23.48,6.03,6.14,6.84,6.79,5.89,6.42,6.85
  └─ Profit for EPS,4.81,94.31,1.51,3.01,2.06,23.48,6.03,6.14,6.84,6.79,5.89,6.40,6.83
  └─ YOY Profit Growth %,,712.56%,-46.83%,-24.88%,-57.17%,39.60%,299.34%,103.31%,232.04%,-71.08%,-2.32%,4.56%,0.15%
EPS in Rs,3.60,66.99,1.07,2.04,1.39,15.89,4.01,4.09,4.55,4.52,3.92,4.26,4.55
Raw PDF,,,,,,,,,,,,,
