Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,13.56,19.43,16.83,24.24
Expenses,8.10,14.85,11.77,14.42
  └─ Material Cost %,3.32%,12.71%,0.00%,-6.39%
  └─ Employee Cost %,13.86%,16.88%,23.53%,15.43%
Operating Profit,5.46,4.58,5.06,9.82
OPM %,40.27%,23.57%,30.07%,40.51%
Other Income,0.02,0.22,0.00,0.11
  └─ Other income normal,0.02,0.22,0.00,0.11
Interest,0.00,0.01,0.29,0.34
Depreciation,0.37,0.46,0.88,1.29
Profit before tax,5.11,4.33,3.89,8.30
Tax %,25.44%,12.47%,23.14%,19.52%
Net Profit,3.80,3.78,2.99,6.68
  └─ Profit excl Excep,3.80,3.78,2.99,6.68
  └─ Profit for PE,3.80,3.78,2.99,6.68
  └─ Profit for EPS,3.80,3.78,2.99,6.68
EPS in Rs,5.15,5.12,4.05,9.05
Raw PDF,,,,
