Metric,Sep 2020,Dec 2020,Jun 2021,Dec 2021,Jun 2022,Jun 2023,Mar 2024,Jun 2024,Dec 2024,Mar 2025,Jun 2025,Dec 2025,Mar 2026
Sales,0.43,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.26,0.26,0.27,0.27,0.27
  └─ YOY Sales Growth %,-99.98%,-100.00%,-100.00%,,,,,,,-3.70%,0.00%,3.85%,3.85%
Expenses,2.52,0.28,0.46,1.27,0.37,0.44,0.24,0.20,0.24,0.28,0.18,0.01,0.98
  └─ Material Cost %,106.98%,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
  └─ Employee Cost %,195.35%,,,,,,3.70%,3.70%,3.85%,3.85%,3.70%,3.70%,3.70%
Operating Profit,-2.09,-0.28,-0.46,-1.27,-0.37,-0.44,0.03,0.07,0.02,-0.02,0.09,0.26,-0.71
OPM %,-486.05%,,,,,,11.11%,25.93%,7.69%,-7.69%,33.33%,96.30%,-262.96%
Other Income,1.12,0.28,0.27,0.83,0.27,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,1.12,0.28,0.27,0.83,0.27,0.27,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,4.14,2.07,1.97,5.89,1.61,1.48,1.42,1.28,1.30,1.28,1.20,1.20,1.20
Profit before tax,-5.11,-2.07,-2.16,-6.33,-1.71,-1.65,-1.39,-1.21,-1.28,-1.30,-1.11,-0.94,-1.91
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-47.48%,0.00%,0.00%,0.00%,0.00%,0.00%,-37.17%
Net Profit,-5.11,-2.07,-2.16,-6.33,-1.72,-1.65,-0.73,-1.21,-1.28,-1.30,-1.11,-0.94,-1.21
  └─ Profit excl Excep,-5.11,-2.07,-2.16,-6.33,-1.72,-1.65,-0.73,-1.21,-1.28,-1.30,-1.11,-0.94,-1.21
  └─ Profit for PE,-5.11,-2.07,-2.16,-6.33,-1.72,-1.65,-0.73,-1.21,-1.28,-1.30,-1.11,-0.94,-1.21
  └─ Profit for EPS,-5.11,-2.07,-2.16,-6.33,-1.72,-1.65,-0.73,-1.21,-1.28,-1.30,-1.11,-0.94,-1.21
  └─ YOY Profit Growth %,98.46%,99.70%,98.94%,-205.80%,20.37%,4.07%,,26.67%,,-78.08%,8.26%,26.56%,6.92%
EPS in Rs,-0.07,-0.03,-0.03,-0.09,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.02,-0.01,-0.02
Raw PDF,,,,,,,,,,,,,
