Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,34.33,39.39,48.71,43.07,39.16,47.85,39.16,26.36,33.52,31.62,31.53,38.43
  └─ YOY Sales Growth %,,,,,14.07%,21.48%,-19.61%,-38.80%,-14.40%,-33.92%,-19.48%,45.79%
Expenses,35.14,38.67,47.00,39.86,38.00,44.15,40.86,28.06,30.74,29.41,28.86,36.78
  └─ Material Cost %,39.94%,40.37%,47.34%,46.92%,43.00%,37.05%,52.68%,59.48%,46.54%,41.84%,41.14%,45.82%
  └─ Employee Cost %,4.95%,5.05%,4.02%,5.04%,4.95%,4.60%,4.06%,6.90%,4.50%,5.03%,5.42%,5.18%
Operating Profit,-0.81,0.72,1.71,3.21,1.16,3.70,-1.70,-1.70,2.78,2.21,2.67,1.65
OPM %,-2.36%,1.83%,3.51%,7.45%,2.96%,7.73%,-4.34%,-6.45%,8.29%,6.99%,8.47%,4.29%
Other Income,0.65,1.28,0.38,1.62,0.78,0.36,0.72,13.64,0.94,-3.54,-2.27,1.42
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.85,0.00,-4.44,-2.97,0.00
  └─ Other income normal,0.65,1.28,0.38,1.62,0.78,0.36,0.72,0.79,0.94,0.90,0.70,1.42
Interest,0.50,0.60,0.46,0.58,0.70,0.98,0.64,0.20,0.87,0.80,0.76,0.73
Depreciation,1.06,1.07,1.14,1.21,0.94,1.13,0.71,1.09,0.90,0.30,0.64,0.93
Profit before tax,-1.72,0.33,0.49,3.04,0.30,1.95,-2.33,10.65,1.95,-2.43,-1.00,1.41
Tax %,13.37%,69.70%,30.61%,3.62%,46.67%,18.97%,-54.51%,32.02%,-32.82%,39.92%,-24.00%,-9.22%
Net Profit,-1.95,0.10,0.33,2.94,0.17,1.58,-1.07,7.23,2.59,-3.40,-0.76,1.55
  └─ Exceptional items AT,0,0,0,0,0,0,0,9,0,-3,-2,0
  └─ Profit excl Excep,-2,0,0,3,0,2,-1,-2,3,-0,2,2
  └─ Profit for PE,-2,0,0,3,0,2,-1,-2,3,-0,2,2
  └─ Profit for EPS,-2,0,0,3,0,2,-1,7,3,-3,-1,2
  └─ YOY Profit Growth %,,,,,109%,1480%,-424%,-175%,1424%,-102%,253%,170%
EPS in Rs,,,,,0.16,1.49,-1.01,6.81,2.44,-3.20,-0.72,1.46
Raw PDF,,,,,,,,,,,,
