Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,125.51,104.22,117.45,160.61,150.66,113.50,113.54,158.90,158.21,116.95,141.14,164.96,142.14
  └─ YOY Sales Growth %,22.27%,5.06%,7.48%,20.15%,20.04%,8.90%,-3.33%,-1.06%,5.01%,3.04%,24.31%,3.81%,-10.16%
Expenses,114.16,93.68,95.61,114.81,122.97,105.99,102.40,128.42,128.77,109.38,129.77,149.61,131.49
  └─ Employee Cost %,32.99%,40.50%,31.42%,22.94%,23.87%,35.16%,32.87%,23.76%,16.28%,32.10%,26.49%,22.39%,15.43%
Operating Profit,11.35,10.54,21.84,45.80,27.69,7.51,11.14,30.48,29.44,7.57,11.37,15.35,10.65
OPM %,9.04%,10.11%,18.60%,28.52%,18.38%,6.62%,9.81%,19.18%,18.61%,6.47%,8.06%,9.31%,7.49%
Other Income,7.08,9.39,5.92,5.94,7.75,9.26,10.55,6.58,11.62,7.96,6.75,-1.44,9.75
  └─ Exceptional items,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.10,-1.60
  └─ Other income normal,7.08,8.07,5.92,5.94,7.75,9.26,10.55,6.58,11.62,7.96,6.75,6.66,11.35
Interest,4.03,3.84,3.85,3.88,3.80,3.72,3.48,3.44,3.51,3.33,3.59,3.75,3.67
Depreciation,21.41,19.51,19.81,19.89,20.59,20.26,20.04,21.30,21.81,20.50,20.73,22.03,21.50
Profit before tax,-7.01,-3.42,4.10,27.97,11.05,-7.21,-1.83,12.32,15.74,-8.30,-6.20,-11.87,-4.77
Tax %,4.28%,-5.56%,17.07%,14.41%,19.82%,-24.55%,120.77%,24.76%,22.74%,-36.51%,-34.03%,-46.84%,-273.17%
Net Profit,-7.30,-3.23,3.40,23.94,8.85,-5.45,-4.03,9.26,12.17,-5.26,-4.09,-6.30,8.27
  └─ Minority share,-0.05,-0.20,-0.09,-0.05,-0.16,-0.05,-0.14,-0.12,-0.11,-0.13,-0.01,-0.12,-0.02
  └─ Exceptional items AT,0.00,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.04,-1.58
  └─ Profit excl Excep,-7.30,-4.51,3.40,23.94,8.85,-5.45,-4.03,9.26,12.17,-5.26,-4.09,1.74,9.85
  └─ Profit for PE,-7.35,-4.71,3.31,23.89,8.69,-5.50,-4.17,9.14,12.06,-5.39,-4.10,1.62,9.83
  └─ Profit for EPS,-7.35,-3.43,3.31,23.89,8.69,-5.50,-4.17,9.14,12.06,-5.39,-4.10,-6.42,8.25
  └─ YOY Profit Growth %,-46.41%,64.07%,347.30%,383.73%,218.23%,-16.77%,-225.98%,-61.74%,38.78%,2.00%,1.68%,-82.28%,-18.52%
EPS in Rs,-1.54,-0.72,0.69,5.01,1.82,-1.15,-0.87,1.92,2.53,-1.13,-0.86,-1.35,1.73
Raw PDF,,,,,,,,,,,,,
