Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,523,537,578,573,584,620,669,634,769,895,1007,1039,1099
  └─ YOY Sales Growth %,26.35%,20.68%,12.02%,20.78%,11.59%,15.40%,15.75%,10.69%,31.70%,44.43%,50.54%,63.99%,42.87%
Expenses,462,473,511,505,510,539,592,559,689,796,889,918,968
  └─ Material Cost %,71%,68%,69%,68%,68%,69%,70%,69%,69%,70%,69%,69%,69%
  └─ Employee Cost %,11%,11%,11%,12%,11%,11%,11%,12%,13%,12%,11%,12%,11%
Operating Profit,61,65,66,68,74,80,77,75,80,99,118,121,131
OPM %,12%,12%,12%,12%,13%,13%,12%,12%,10%,11%,12%,12%,12%
Other Income,2,3,4,2,4,2,6,4,4,2,3,2,4
  └─ Other income normal,1.89,2.84,4.03,1.94,4.35,2.17,6.13,4.00,4.34,2.25,3.37,1.90,4.05
Interest,5,5,5,5,4,3,3,2,5,6,7,9,8
Depreciation,17,20,21,21,20,20,21,22,26,29,30,30,31
Profit before tax,41,43,44,44,55,59,60,54,53,66,85,84,96
Tax %,28%,26%,25%,23%,24%,23%,25%,24%,34%,25%,24%,25%,24%
Net Profit,30,32,33,34,42,46,45,41,35,50,64,64,73
  └─ Profit excl Excep,30,32,33,34,42,46,45,41,35,50,64,64,73
  └─ Profit for PE,30,32,33,34,42,46,45,41,35,50,64,64,73
  └─ Profit for EPS,30,32,33,34,42,46,45,41,35,50,64,64,73
  └─ YOY Profit Growth %,127%,55%,-17%,27%,39%,43%,36%,22%,-16%,10%,42%,54%,110%
EPS in Rs,2.44,2.62,2.72,2.79,3.40,3.74,3.70,3.40,2.87,4.09,5.25,5.23,6.01
Raw PDF,,,,,,,,,,,,,
