Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,269,282,295,305,315,331,348,354,355,372,391,402,404
  └─ YOY Sales Growth %,33.47%,25.60%,22.49%,21.44%,17.08%,17.44%,17.98%,16.05%,12.84%,12.32%,12.45%,13.35%,13.86%
Expenses,213,215,226,227,238,223,226,230,236,253,275,282,284
  └─ Material Cost %,-0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
  └─ Employee Cost %,45.94%,44.06%,44.93%,45.37%,47.31%,43.22%,42.39%,43.18%,44.33%,43.27%,43.86%,45.39%,44.03%
Operating Profit,56,67,69,78,77,108,122,124,119,119,116,120,120
OPM %,21%,24%,23%,26%,24%,33%,35%,35%,34%,32%,30%,30%,30%
Other Income,31,55,35,42,77,53,66,45,109,92,10,135,-34
  └─ Exceptional items,0.00,-1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,30.70,57.10,34.60,41.70,77.20,53.20,65.50,44.90,108.80,92.40,10.20,135.40,-33.90
Interest,2,2,2,2,2,2,2,2,2,1,1,1,1
Depreciation,9,7,8,8,13,8,8,8,8,7,7,7,7
Profit before tax,76,112,93,110,139,151,177,159,218,204,119,247,78
Tax %,26%,26%,26%,25%,28%,25%,24%,24%,17%,25%,30%,24%,36%
Net Profit,56,83,69,82,100,114,135,121,181,154,83,188,50
  └─ Exceptional items AT,0,-1,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,56,84,69,82,100,114,135,121,181,154,83,188,50
  └─ Profit for PE,56,84,69,82,100,114,135,121,181,154,83,188,50
  └─ Profit for EPS,56,83,69,82,100,114,135,121,181,154,83,188,50
  └─ YOY Profit Growth %,-3%,81%,1%,-27%,78%,35%,95%,48%,81%,35%,-39%,56%,-72%
EPS in Rs,9.12,13.57,11.57,13.65,16.61,19.01,22.52,20.16,30.08,25.57,13.78,31.34,8.35
Raw PDF,,,,,,,,,,,,,
