Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,22,27,43,56,67,65
Expenses,15,16,28,34,35,43
  └─ Material Cost %,21.27%,14.82%,20.31%,21.74%,19.81%,19.44%
  └─ Employee Cost %,16.33%,13.96%,16.06%,13.23%,11.80%,15.88%
Operating Profit,7,10,15,21,32,22
OPM %,32%,39%,35%,38%,48%,34%
Other Income,1,1,2,1,3,2
  └─ Other income normal,0.75,0.85,1.57,1.15,2.90,2.13
Interest,2,2,2,1,1,1
Depreciation,1,1,2,4,4,6
Profit before tax,5,8,13,18,30,17
Tax %,17%,28%,29%,-2%,4%,-2%
Net Profit,4,6,9,18,29,17
  └─ Profit from Associates,-0.04,-0.04,0.04,-0.06,0.29,-0.01
  └─ Minority share,-0.01,0.01,-3.93,-9.05,-13.52,-6.37
  └─ Profit excl Excep,4.25,6.05,9.05,18.06,28.63,17.09
  └─ Profit for PE,4.24,6.06,5.12,9.01,15.11,10.72
  └─ Profit for EPS,4.24,6.06,5.12,9.01,15.11,10.72
EPS in Rs,,,,,9.75,6.83
Raw PDF,,,,,,
