Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,7.01,8.18,6.09,9.23,11.03,31.26,29.66,20.83,21.95,37.25
  └─ YOY Sales Growth %,,,,,57.35%,282.15%,387.03%,125.68%,99.00%,19.16%
Expenses,5.53,10.55,8.64,11.33,11.19,24.73,30.20,25.39,12.99,28.43
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,0.00%,39.32%,49.46%,22.76%,0.09%,3.44%
  └─ Employee Cost %,4.85%,10.02%,11.82%,5.31%,3.35%,4.45%,11.80%,7.35%,2.92%,2.15%
Operating Profit,1.48,-2.37,-2.55,-2.10,-0.16,6.53,-0.54,-4.56,8.96,8.82
OPM %,21.11%,-28.97%,-41.87%,-22.75%,-1.45%,20.89%,-1.82%,-21.89%,40.82%,23.68%
Other Income,0.02,0.80,0.00,0.54,0.22,1.19,0.62,1.39,0.89,0.30
  └─ Exceptional items,0.00,0.00,-0.01,0.00,0.00,0.01,0.00,0.00,0.00,-0.11
  └─ Other income normal,0.02,0.80,0.01,0.54,0.22,1.18,0.62,1.39,0.89,0.41
Interest,0.02,0.04,0.02,0.02,0.19,0.42,0.29,0.19,0.45,0.92
Depreciation,0.22,0.13,0.20,0.20,0.26,0.50,0.52,0.22,0.33,0.31
Profit before tax,1.26,-1.74,-2.77,-1.78,-0.39,6.80,-0.73,-3.58,9.07,7.89
Tax %,28.57%,-22.41%,0.00%,0.56%,5.13%,7.94%,24.66%,-1.68%,13.45%,43.22%
Net Profit,0.90,-1.34,-2.77,-1.79,-0.41,6.25,-0.91,-3.53,7.86,4.48
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,-1.80,-1.10,1.07,-0.21,0.17
  └─ Exceptional items AT,0.00,0.00,-0.01,0.00,0.00,0.01,0.00,0.00,0.00,-0.06
  └─ Profit excl Excep,0.90,-1.34,-2.76,-1.79,-0.41,6.24,-0.91,-3.53,7.86,4.54
  └─ Profit for PE,0.90,-1.34,-2.76,-1.79,-0.41,4.44,-2.01,-2.46,7.65,4.71
  └─ Profit for EPS,0.90,-1.34,-2.77,-1.79,-0.41,4.45,-2.01,-2.46,7.65,4.65
  └─ YOY Profit Growth %,,,,,-145.56%,431.56%,27.17%,-37.43%,1965.85%,6.01%
EPS in Rs,0.54,-0.80,-1.65,-1.07,-0.24,2.65,-1.20,-1.47,4.56,1.62
Raw PDF,,,,,,,,,,
