Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,300,270,263,411,315,317,472,748
  └─ YOY Sales Growth %,,,,,5%,17%,80%,82%
Expenses,259,228,221,343,266,262,381,598
  └─ Material Cost %,77%,72%,73%,73%,74%,69%,68%,70%
  └─ Employee Cost %,2%,2%,3%,2%,2%,3%,3%,2%
Operating Profit,41,42,42,69,49,55,91,150
OPM %,14%,16%,16%,17%,15%,17%,19%,20%
Other Income,1,3,-0,3,2,2,3,7
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-1.13,-0.11
  └─ Other income normal,0.99,2.76,-0.39,2.95,2.41,1.57,4.11,7.56
Interest,7,6,11,10,7,13,21,16
Depreciation,2,2,2,2,2,6,9,9
Profit before tax,34,37,28,60,42,38,65,132
Tax %,27%,28%,21%,25%,26%,33%,33%,22%
Net Profit,25,27,22,45,31,25,43,102
  └─ Exceptional items AT,0,0,0,0,0,0,-1,-0
  └─ Profit excl Excep,25,27,22,45,31,25,44,102
  └─ Profit for PE,25,27,22,45,31,25,44,102
  └─ Profit for EPS,25,27,22,45,31,25,43,102
  └─ YOY Profit Growth %,,,,,25%,-7%,98%,129%
EPS in Rs,17.36,18.77,3.11,6.24,4.35,3.26,5.64,13.29
Raw PDF,,,,,,,,
