Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,10.05,32.97,4.52,46.41,54.32,55.12,62.62
  └─ YOY Sales Growth %,,,,,440%,67%,1285%
Expenses,9.00,27.22,3.33,37.68,43.28,42.87,49.28
  └─ Employee Cost %,19.10%,20.14%,2.21%,9.39%,11.21%,12.41%,13.77%
Operating Profit,1.05,5.75,1.19,8.73,11.04,12.25,13.34
OPM %,10.45%,17.44%,26.33%,18.81%,20.32%,22.22%,21.30%
Other Income,0.03,0.26,0.19,0.41,0.43,0.60,0.33
  └─ Other income normal,0.03,0.26,0.19,0.41,0.43,0.60,0.33
Interest,0.06,0.34,0.03,0.39,0.63,1.53,1.52
Depreciation,0.08,0.25,0.00,0.38,0.51,0.58,0.69
Profit before tax,0.94,5.42,1.35,8.37,10.33,10.74,11.46
Tax %,35.11%,32.29%,25.93%,28.32%,29.24%,29.14%,26.44%
Net Profit,0.61,3.67,0.99,6.00,7.30,7.61,8.44
  └─ Profit excl Excep,1,4,1,6,7,8,8
  └─ Profit for PE,1,4,1,6,7,8,8
  └─ Profit for EPS,1,4,1,6,7,8,8
  └─ YOY Profit Growth %,,,,,1097%,107%,753%
EPS in Rs,0.41,2.45,0.66,4.00,4.87,5.07,5.46
Raw PDF,,,,,,,
