Metric,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013
Sales,0.22,0.27,0.23,0.39,0.25,0.27,0.28,0.27,0.23,0.24,0.23,0.26,0.24
  └─ YOY Sales Growth %,-78.85%,-59.70%,-43.90%,69.57%,-7.41%,17.39%,-28.21%,,-8.00%,-11.11%,-17.86%,-3.70%,4.35%
Expenses,0.31,0.28,0.26,0.39,0.16,0.20,0.17,0.16,0.11,0.13,0.15,0.18,0.15
  └─ Material Cost %,18.18%,0.00%,0.00%,46.15%,0.00%,7.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
  └─ Employee Cost %,40.91%,51.85%,60.87%,35.90%,40.00%,40.74%,35.71%,22.22%,30.43%,20.83%,39.13%,46.15%,41.67%
Operating Profit,-0.09,-0.01,-0.03,0.00,0.09,0.07,0.11,0.11,0.12,0.11,0.08,0.08,0.09
OPM %,-40.91%,-3.70%,-13.04%,0.00%,36.00%,25.93%,39.29%,40.74%,52.17%,45.83%,34.78%,30.77%,37.50%
Other Income,0.39,0.31,0.27,0.32,0.23,0.14,0.35,0.18,0.10,0.09,0.18,0.20,0.09
  └─ Other income normal,0.39,0.31,0.27,0.32,0.23,0.14,0.35,0.18,0.10,0.09,0.18,0.20,0.09
Interest,0.19,0.15,0.11,0.09,0.06,0.04,0.05,0.04,0.03,0.02,0.01,0.01,0.00
Depreciation,0.05,0.06,0.06,0.05,0.06,0.06,0.05,0.02,0.05,0.03,0.04,0.03,0.03
Profit before tax,0.06,0.09,0.07,0.18,0.20,0.11,0.36,0.23,0.14,0.15,0.21,0.24,0.15
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.76%,0.00%,0.00%
Net Profit,0.06,0.09,0.07,0.18,0.20,0.11,0.34,0.23,0.14,0.15,0.20,0.24,0.15
  └─ Profit excl Excep,0.06,0.09,0.07,0.18,0.20,0.11,0.34,0.23,0.14,0.15,0.20,0.24,0.15
  └─ Profit for PE,0.06,0.09,0.07,0.18,0.20,0.11,0.34,0.23,0.14,0.15,0.20,0.24,0.15
  └─ Profit for EPS,0.06,0.09,0.07,0.18,0.20,0.11,0.34,0.23,0.14,0.15,0.20,0.24,0.15
  └─ YOY Profit Growth %,112.24%,325.00%,-12.50%,,122.22%,57.14%,88.89%,,-30.00%,36.36%,-41.18%,4.35%,7.14%
EPS in Rs,0.11,0.17,0.13,0.33,0.37,0.20,0.63,0.43,0.26,0.28,0.37,0.45,0.28
Raw PDF,,,,,,,,,,,,,
